stock,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days
GLENMARK,2024-05-03,2024-05-10,1053.3,1023.95,94,-2758.8999999999915,-3149.4229999999916,-2.786480584828621,7
ONGC,2024-05-03,2024-05-10,272.55,257.5,366,-5508.300000000004,-5896.296600000004,-5.521922583012295,7
JIOFIN,2024-05-03,2024-05-10,375.9,347.85,266,-7461.299999999988,-7846.334999999988,-7.462090981644042,7
ALKEM,2024-05-03,2024-05-10,4904.0,5128.9,20,4497.999999999993,4096.683999999993,4.586052202283852,7
POLICYBZR,2024-05-03,2024-05-10,1293.85,1202.25,77,-7053.199999999993,-7437.599399999994,-7.079646017699104,7
GAIL,2024-05-03,2024-05-10,196.38,185.53,509,-5522.649999999997,-5911.434379999997,-5.5250025460841234,7
PERSISTENT,2024-05-03,2024-05-10,3366.85,3367.5,29,18.850000000002638,-371.7422999999974,0.019305879382813806,7
UPL,2024-05-03,2024-05-10,473.5,481.45,211,1677.4499999999975,1274.4610999999975,1.6789862724392757,7
APLAPOLLO,2024-05-03,2024-05-10,1587.3,1535.45,63,-3266.5499999999943,-3660.0164999999943,-3.2665532665532626,7
GODREJCP,2024-05-03,2024-05-10,1251.2,1320.95,79,5510.25,5103.8503,5.574648337595911,7
ABB,2024-05-10,2024-05-17,7178.35,8371.35,13,15509.0,15104.7078,16.61941811140444,7
OBEROIRLTY,2024-05-10,2024-05-17,1469.65,1742.8,66,18027.89999999999,17603.856599999992,18.586057904943342,7
CIPLA,2024-05-10,2024-05-17,1339.55,1399.05,72,4284.0,3889.6416,4.44179015340973,7
LTF,2024-05-10,2024-05-17,155.2,160.7,628,3454.0,3057.2296,3.5438144329897003,7
HINDALCO,2024-05-10,2024-05-17,625.6,655.45,156,4656.600000000004,4256.912400000004,4.771419437340163,7
INDIGO,2024-05-10,2024-05-17,4019.2,4366.3,24,8330.400000000009,7927.896000000009,8.636046974522294,7
TORNTPOWER,2024-05-10,2024-05-17,1326.95,1378.65,73,3774.100000000003,3379.082400000003,3.8961528316816763,7
KPITTECH,2024-05-10,2024-05-17,1463.9,1517.2,66,3517.799999999997,3124.294799999997,3.6409590819044935,7
DLF,2024-05-10,2024-05-17,825.85,848.75,118,2702.199999999997,2306.994399999997,2.772900647817389,7
TORNTPHARM,2024-05-10,2024-05-17,2599.9,2698.7,37,3655.59999999999,3263.50359999999,3.8001461594676655,7
KEI,2024-05-17,2024-05-24,4168.8,4284.35,24,2773.2000000000044,2367.448800000004,2.7717808482057293,7
NHPC,2024-05-17,2024-05-24,99.25,102.45,1047,3350.400000000003,2928.0402000000026,3.2241813602015057,7
NMDC,2024-05-17,2024-05-24,89.14,86.31,1166,-3299.779999999998,-3708.929399999998,-3.174781242988556,7
