stock,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days
HINDZINC,2024-05-17,2024-05-24,590.2,742.65,176,26831.19999999999,26362.03679999999,25.830227041680764,7
JSWSTEEL,2024-05-17,2024-05-24,907.45,908.65,114,136.79999999999222,-277.2708000000078,0.13223869083696105,7
COLPAL,2024-05-17,2024-05-24,2682.0,2683.8,38,68.40000000000691,-339.4007999999931,0.06711409395974144,7
AMBUJACEM,2024-05-17,2024-05-24,620.7,635.3,167,2438.199999999985,2018.695999999985,2.352183019171883,7
OFSS,2024-05-17,2024-05-24,7544.0,7308.0,13,-3068.0,-3454.152,-3.1283138918345665,7
PAGEIND,2024-05-17,2024-05-24,35581.5,35554.9,2,-53.19999999999709,-337.74559999999707,-0.07475795005831287,7
BHARTIHEXA,2024-05-17,2024-05-24,966.6,1022.05,107,5933.149999999992,5507.578899999992,5.736602524312007,7
OIL,2024-05-24,2024-05-31,441.25,423.8,242,-4222.899999999997,-4641.584199999997,-3.9546742209631724,7
COCHINSHIP,2024-05-24,2024-05-31,1912.55,1947.65,56,1965.6000000000076,1533.2576000000076,1.8352461373558837,7
KALYANKJIL,2024-05-24,2024-05-31,401.95,388.45,266,-3591.0,-4011.4928,-3.358626694862543,7
NAUKRI,2024-05-24,2024-05-31,1267.0,1139.5,84,-10710.0,-11114.292,-10.063141278610887,7
IDEA,2024-05-24,2024-05-31,15.1,15.25,7093,1063.9500000000025,633.4049000000025,0.9933774834437026,7
LODHA,2024-05-24,2024-05-31,1335.8,1377.95,80,3372.0000000000073,2937.8000000000075,3.155412486899234,7
IDFCFIRSTB,2024-05-24,2024-05-31,77.7,76.4,1378,-1791.399999999996,-2216.099599999996,-1.6731016731016735,7
ULTRACEMCO,2024-05-24,2024-05-31,10231.1,9915.5,10,-3156.0000000000036,-3558.9320000000034,-3.084712298775305,7
JSWENERGY,2024-05-24,2024-06-07,600.65,625.95,178,4503.400000000012,4066.730400000012,4.212103554482649,14
360ONE,2024-05-24,2024-06-07,823.7,799.85,130,-3100.5000000000027,-3522.623000000003,-2.8954716523005963,14
PIIND,2024-05-31,2024-06-07,3539.7,3642.6,29,2984.1000000000026,2567.526600000003,2.9070260191541575,7
INDUSINDBK,2024-05-31,2024-06-07,1461.85,1492.1,71,2147.75,1728.2891,2.069295755378464,7
PAGEIND,2024-05-31,2024-06-07,35954.7,38349.45,2,4789.5,4492.2834,6.660464417725631,7
BLUESTARCO,2024-05-31,2024-06-07,1576.45,1565.9,66,-696.299999999997,-1111.090199999997,-0.6692251577912423,7
ADANIENSOL,2024-05-31,2024-06-07,1122.8,1020.05,93,-9555.75,-9954.3201,-9.151229070181689,7
FORTIS,2024-05-31,2024-06-07,475.1,465.8,220,-2046.0000000000025,-2459.9960000000024,-1.9574826352346864,7
KOTAKBANK,2024-05-31,2024-06-07,1680.4,1753.7,62,4544.599999999997,4118.771599999996,4.362056653177815,7
TMPV,2024-05-31,2024-06-07,635.5,668.2,164,5362.8000000000075,4935.186400000008,5.14555468135327,7
BAJAJHLDNG,2024-06-07,2024-06-14,8377.6,8302.85,12,-897.0,-1297.3308000000002,-0.8922603132161977,7
ETERNAL,2024-06-07,2024-06-14,184.0,186.24,573,1283.5200000000052,859.2249600000052,1.2173913043478368,7
SBILIFE,2024-06-07,2024-06-14,1425.85,1469.9,74,3259.7000000000135,2831.1290000000135,3.0893852789564358,7
UNITDSPR,2024-06-07,2024-06-14,1307.55,1269.0,80,-3083.9999999999964,-3496.2479999999964,-2.9482620167488816,7
HINDZINC,2024-06-07,2024-06-14,688.15,661.9,153,-4016.25,-4429.3653,-3.81457531061542,7
TATAELXSI,2024-06-07,2024-06-14,7120.0,7268.0,14,2072.0,1669.136,2.0786516853932513,7
SUPREMEIND,2024-06-07,2024-06-14,5748.55,6039.55,18,5238.0,4813.6284,5.062146106409449,7
DLF,2024-06-07,2024-06-14,843.45,878.6,125,4393.749999999997,3963.2374999999975,4.167407670875578,7
SIEMENS,2024-06-07,2024-06-14,5237.45,5934.6,20,13943.000000000011,13496.118000000011,13.310866929517239,7
MARUTI,2024-06-07,2024-06-24,12810.9,12183.4,8,-5020.0,-5419.9088,-4.898172649852861,17
NMDC,2024-06-14,2024-06-24,86.15,85.06,1246,-1358.1400000000042,-1784.7953200000043,-1.2652350551363933,10
NHPC,2024-06-14,2024-06-24,102.59,99.81,1046,-2907.880000000001,-3331.300800000001,-2.7098157715176874,10
SBIN,2024-06-14,2024-06-24,839.2,832.7,127,-825.5,-1250.1626,-0.7745471877979027,10
SAIL,2024-06-14,2024-06-24,153.63,149.85,699,-2642.2200000000007,-3066.4850400000005,-2.4604569420035194,10
LICHSGFIN,2024-06-14,2024-06-24,731.65,733.9,146,328.5,-99.44059999999996,0.30752408938701237,10
EICHERMOT,2024-06-14,2024-06-24,4935.1,4870.9,21,-1348.2000000000153,-1760.0520000000154,-1.300885493708348,10
MARICO,2024-06-14,2024-06-24,619.35,623.05,173,640.0999999999882,210.22959999998818,0.5974005005247252,10
NTPC,2024-06-14,2024-06-24,368.45,362.75,291,-1658.6999999999966,-2084.2583999999965,-1.5470213054688542,10
INDHOTEL,2024-06-24,2024-07-01,648.15,614.8,163,-5436.050000000004,-5847.771700000004,-5.1454138702460845,7
BLUESTARCO,2024-06-24,2024-07-01,1693.85,1622.9,62,-4398.899999999989,-4810.176999999989,-4.188682587005921,7
CIPLA,2024-06-24,2024-07-01,1504.4,1479.1,70,-1771.0000000000127,-2188.690000000013,-1.6817335814942935,7
ONGC,2024-06-24,2024-07-01,257.15,260.05,411,1191.900000000014,766.7616000000139,1.1277464514874769,7
BOSCHLTD,2024-06-24,2024-07-01,33015.5,34249.95,3,3703.3499999999913,3299.757299999991,3.7390013781405607,7
TVSMOTOR,2024-06-24,2024-07-01,2439.7,2354.6,43,-3659.299999999996,-4071.609799999996,-3.4881337869410167,7
SONACOMS,2024-06-24,2024-07-01,637.55,669.6,165,5288.250000000011,4856.89050000001,5.027056701435195,7
COROMANDEL,2024-06-24,2024-07-01,1531.85,1597.2,69,4509.15000000001,4077.3411000000096,4.266083493814676,7
OFSS,2024-06-14,2024-07-08,9215.5,10038.5,11,9053.0,8629.412,8.930606044164712,24
JSWENERGY,2024-06-24,2024-07-08,747.1,742.2,141,-690.8999999999968,-1110.8825999999967,-0.6558693615312472,14
IRCTC,2024-07-01,2024-07-08,992.85,1045.6,106,5591.499999999988,5159.348599999988,5.3129878632220295,7
NMDC,2024-07-01,2024-07-08,81.07,80.59,1306,-626.8799999999867,-1049.1359199999868,-0.5920809177254127,7
GMRAIRPORT,2024-07-01,2024-07-08,97.62,98.9,1084,1387.5200000000013,961.4646400000013,1.3112067199344324,7
POWERGRID,2024-07-01,2024-07-08,329.6,339.4,321,3145.7999999999856,2716.3019999999856,2.9733009708737823,7
BRITANNIA,2024-07-01,2024-07-08,5476.5,5568.55,19,1748.9500000000035,1329.2381000000034,1.680818040719445,7
SBIN,2024-07-01,2024-07-08,841.95,856.25,125,1787.4999999999943,1362.9499999999944,1.6984381495338097,7
COALINDIA,2024-07-01,2024-07-08,445.85,463.2,237,4111.949999999992,3681.0602999999915,3.8914433105304402,7
SRF,2024-07-08,2024-07-15,2368.3,2395.7,45,1232.9999999999836,804.2399999999836,1.1569480217877626,7
GODFRYPHLP,2024-07-08,2024-07-15,1408.0,1578.0,76,12920.0,12466.128,12.073863636363647,7
DLF,2024-07-08,2024-07-15,835.7,833.3,128,-307.20000000001164,-734.4640000000117,-0.2871843963144771,7
ACC,2024-07-08,2024-07-15,2673.05,2695.7,40,905.9999999999854,476.49999999998545,0.8473466639232097,7
UNITDSPR,2024-07-08,2024-07-15,1272.1,1303.7,84,2654.4000000000115,2221.665600000011,2.4840814401383637,7
CUMMINSIND,2024-07-08,2024-07-15,4000.85,3890.8,26,-2861.299999999993,-3271.665799999993,-2.7506654835847355,7
BPCL,2024-07-08,2024-07-15,284.3,292.1,377,2940.6000000000045,2505.9944000000046,2.743580724586714,7
INDUSINDBK,2024-07-08,2024-07-15,1438.05,1444.05,74,444.0,17.44920000000002,0.41723166788358856,7
NTPC,2024-07-08,2024-07-23,377.45,382.45,284,1420.0,988.3768,1.3246787653993897,15
LTIM,2024-07-08,2024-07-23,5389.7,5688.6,19,5679.10000000001,5258.12460000001,5.545763215021249,15
TCS,2024-07-15,2024-07-23,4169.2,4302.35,26,3461.900000000014,3021.3794000000144,3.193658255780507,8
NMDC,2024-07-15,2024-07-23,79.62,75.6,1370,-5507.400000000014,-5932.702800000015,-5.048982667671453,8
PAGEIND,2024-07-15,2024-07-23,40541.55,40900.4,2,717.6999999999971,391.932199999997,0.885141293315117,8
KOTAKBANK,2024-07-15,2024-07-23,1843.55,1768.9,59,-4404.349999999992,-4830.619099999993,-4.04925280030376,8
BDL,2024-07-15,2024-07-23,1628.75,1467.9,67,-10776.949999999993,-11191.901099999994,-9.875671527244812,8
TECHM,2024-07-15,2024-07-23,1444.7,1466.6,75,1642.4999999999898,1205.8049999999898,1.515885651000204,8
TMPV,2024-07-15,2024-07-23,705.35,689.75,154,-2402.4000000000033,-2832.0908000000036,-2.211667966257891,8
GMRAIRPORT,2024-07-15,2024-07-30,98.09,99.97,1112,2090.559999999995,1650.074559999995,1.9166071974717092,15
UNIONBANK,2024-07-23,2024-07-30,130.32,130.48,820,131.1999999999972,-296.5120000000028,0.12277470841006721,7
IGL,2024-07-23,2024-07-30,267.05,276.7,400,3859.999999999991,3424.999999999991,3.6135555139486852,7
SIEMENS,2024-07-23,2024-07-30,5171.65,5348.7,20,3541.0000000000036,3120.186000000004,3.4234721993947836,7
TATAPOWER,2024-07-23,2024-07-30,416.45,444.1,256,7078.400000000009,6637.798400000009,6.639452515307975,7
GAIL,2024-07-23,2024-07-30,211.78,225.23,504,6778.799999999994,6338.293919999994,6.350930210595895,7
INDIGO,2024-07-23,2024-07-30,4315.4,4474.0,24,3806.4000000000087,3384.5088000000087,3.6752097140473783,7
BAJAJ-AUTO,2024-07-23,2024-07-30,9150.5,9328.0,11,1952.5,1545.973,1.9397847112179623,7
MAZDOCK,2024-07-23,2024-07-30,2530.6,2684.5,42,6463.800000000004,6025.731600000004,6.081561684975889,7
JSWENERGY,2024-07-23,2024-07-30,697.1,715.25,153,2776.9499999999966,2344.770899999997,2.603643666618849,7
MARUTI,2024-07-30,2024-07-30,12873.65,12873.65,8,0.0,-411.9568,0.0,0
SUNPHARMA,2024-07-30,2024-07-30,1701.6,1701.6,65,0.0,-442.416,0.0,0
RELIANCE,2024-07-30,2024-07-30,1513.15,1513.15,73,0.0,-441.8398000000001,0.0,0
NAUKRI,2024-07-30,2024-07-30,1402.0,1402.0,79,0.0,-443.032,0.0,0
IRCTC,2024-07-30,2024-07-30,989.6,989.6,111,0.0,-439.3824,0.0,0
BLUESTARCO,2024-07-30,2024-07-30,1723.55,1723.55,64,0.0,-441.2288,0.0,0
POWERGRID,2024-07-30,2024-07-30,349.8,349.8,316,0.0,-442.1472,0.0,0
BIOCON,2024-07-30,2024-07-30,359.45,359.45,308,0.0,-442.8424,0.0,0
MOTILALOFS,2024-07-30,2024-07-30,638.65,638.65,173,0.0,-441.9458,0.0,0
