date,portfolio_value,daily_return,strategy
2024-06-19,1030452.0130399995,-0.005640240614233366,Daily Rebalancing
2024-06-20,1037173.1722199998,0.006522534863289563,Daily Rebalancing
2024-06-21,1024581.7111399998,-0.012140172362006681,Daily Rebalancing
2024-06-24,1020984.7671599998,-0.003510646287056838,Daily Rebalancing
2024-06-25,1013177.1123599998,-0.007647180497822717,Daily Rebalancing
2024-06-26,1011814.9698600001,-0.0013444268365151659,Daily Rebalancing
2024-06-27,1018822.02346,0.006925232190396943,Daily Rebalancing
2024-06-28,1014857.6349200002,-0.003891149237760353,Daily Rebalancing
2024-07-01,1015675.4884200004,0.0008058800287438064,Daily Rebalancing
2024-07-02,1003818.3081800002,-0.011674181739332365,Daily Rebalancing
2024-07-03,1008812.4293000004,0.00497512456119174,Daily Rebalancing
2024-07-04,1012482.0569200004,0.0036375717759011207,Daily Rebalancing
2024-07-05,1014914.9650000005,0.002402914761177274,Daily Rebalancing
2024-07-08,1014554.2353800006,-0.00035542841759161377,Daily Rebalancing
2024-07-09,1009756.6493800007,-0.004728762477841277,Daily Rebalancing
2024-07-10,1001709.2710800004,-0.007969621497359166,Daily Rebalancing
2024-07-11,998556.8330000006,-0.003147058903229528,Daily Rebalancing
2024-07-12,994178.4926800007,-0.004384668128348625,Daily Rebalancing
2024-07-15,992658.2495400007,-0.001529145069213804,Daily Rebalancing
2024-07-16,987710.9590000005,-0.0049838809502593395,Daily Rebalancing
2024-07-18,983798.4262400008,-0.003961212259870995,Daily Rebalancing
2024-07-19,965628.793880001,-0.018468856907448716,Daily Rebalancing
2024-07-22,966756.3347200009,0.0011676752465813835,Daily Rebalancing
2024-07-23,949916.4068000008,-0.017418999302318872,Daily Rebalancing
2024-07-24,950295.0890000009,0.000398647920268808,Daily Rebalancing
2024-07-25,956999.5208800009,0.0070551052589939685,Daily Rebalancing
2024-07-26,982122.5746800008,0.026251897991441193,Daily Rebalancing
2024-07-29,991774.9912800008,0.009828118046410844,Daily Rebalancing
2024-07-30,996811.1899800007,0.005077965006457917,Daily Rebalancing
2024-05-03,998014.3827600001,0.0,Weekly Rebalancing
2024-05-06,991911.2227599999,-0.006115302650370542,Weekly Rebalancing
2024-05-07,978804.88276,-0.013213218783361968,Weekly Rebalancing
2024-05-08,990019.4927599997,0.01145745203924319,Weekly Rebalancing
2024-05-09,969132.50276,-0.021097554293371047,Weekly Rebalancing
2024-05-10,974268.0195200001,0.005299086291476828,Weekly Rebalancing
2024-05-13,994506.9195199999,0.020773441798870747,Weekly Rebalancing
2024-05-14,1005626.6195200001,0.011181118785344524,Weekly Rebalancing
2024-05-15,1017471.0195200001,0.011778128949742325,Weekly Rebalancing
2024-05-16,1034612.16952,0.016846818898179898,Weekly Rebalancing
2024-05-17,1038183.6351,0.0034519848936794477,Weekly Rebalancing
2024-05-18,1042732.5150999998,0.0043815755192112334,Weekly Rebalancing
2024-05-21,1069979.4551,0.02613032547219172,Weekly Rebalancing
2024-05-22,1079127.7451,0.008549967904893128,Weekly Rebalancing
2024-05-23,1078561.7151,-0.0005245254814086681,Weekly Rebalancing
2024-05-24,1069212.0567199995,-0.008668635506994168,Weekly Rebalancing
2024-05-27,1078776.3067199995,0.00894513856244762,Weekly Rebalancing
2024-05-28,1058639.6067199996,-0.01866624236606126,Weekly Rebalancing
2024-05-29,1051524.9567199997,-0.006720559059794998,Weekly Rebalancing
2024-05-30,1039385.5567199995,-0.011544566700410347,Weekly Rebalancing
2024-05-31,1044839.8786199996,0.005247640651475244,Weekly Rebalancing
2024-06-03,1074516.3286199996,0.0284028688100955,Weekly Rebalancing
2024-06-04,1003388.3286199998,-0.06619536446816904,Weekly Rebalancing
2024-06-05,1032171.0786199996,0.028685553916683322,Weekly Rebalancing
2024-06-06,1043332.7286199997,0.010813759686934004,Weekly Rebalancing
2024-06-07,1053653.4960199997,0.009892115062518103,Weekly Rebalancing
2024-06-10,1055684.0860199996,0.0019271895434979961,Weekly Rebalancing
2024-06-11,1065237.8260199998,0.009049809622515453,Weekly Rebalancing
2024-06-12,1064165.8960199996,-0.0010062823285248623,Weekly Rebalancing
2024-06-13,1068651.7060199997,0.004215329599244882,Weekly Rebalancing
2024-06-14,1071876.4802599999,0.003017610154771813,Weekly Rebalancing
2024-06-18,1076416.0702599997,0.004235180157044499,Weekly Rebalancing
2024-06-19,1064806.4102599996,-0.010785476286317361,Weekly Rebalancing
2024-06-20,1078230.0502599997,0.012606648373503318,Weekly Rebalancing
2024-06-21,1071264.1002599997,-0.0064605415127506555,Weekly Rebalancing
2024-06-24,1068295.8956199996,-0.0027707496585386675,Weekly Rebalancing
2024-06-25,1063315.8456199993,-0.004661676620137197,Weekly Rebalancing
2024-06-26,1058326.3956199996,-0.004692349898247276,Weekly Rebalancing
2024-06-27,1062327.3956199996,0.0037804972233127505,Weekly Rebalancing
2024-06-28,1065377.9456199994,0.0028715723726765417,Weekly Rebalancing
2024-07-01,1069092.6869199995,0.003486782615758305,Weekly Rebalancing
2024-07-02,1060807.3269199997,-0.007749898677045075,Weekly Rebalancing
2024-07-03,1071649.8569199997,0.010221017261900674,Weekly Rebalancing
2024-07-04,1069440.2269199996,-0.002061895483615105,Weekly Rebalancing
2024-07-05,1083065.2369199996,0.012740319334386923,Weekly Rebalancing
2024-07-08,1083249.1426799993,0.00016980118438917778,Weekly Rebalancing
2024-07-09,1082371.6426799993,-0.0008100629535962814,Weekly Rebalancing
2024-07-10,1080117.1426799993,-0.0020829259665541126,Weekly Rebalancing
2024-07-11,1083546.4926799994,0.0031749796984900636,Weekly Rebalancing
2024-07-12,1084000.7426799994,0.00041922520451935264,Weekly Rebalancing
2024-07-15,1101980.6635799992,0.016586631532694,Weekly Rebalancing
2024-07-16,1098594.0435799994,-0.0030732118193415327,Weekly Rebalancing
2024-07-18,1100030.9835799993,0.0013079808764640427,Weekly Rebalancing
2024-07-19,1075640.4535799993,-0.022172584558138708,Weekly Rebalancing
2024-07-22,1080578.8635799992,0.004591134503693737,Weekly Rebalancing
2024-07-23,1079654.5743799994,-0.0008553648707671006,Weekly Rebalancing
2024-07-24,1083976.3643799992,0.004002937701145413,Weekly Rebalancing
2024-07-25,1077412.9243799995,-0.006054965971286463,Weekly Rebalancing
2024-07-26,1098542.7243799993,0.01961160806768586,Weekly Rebalancing
2024-07-29,1114435.7943799994,0.014467411824123517,Weekly Rebalancing
2024-07-30,1119212.7058199993,0.004286394482382456,Weekly Rebalancing
2024-05-03,998014.3827600001,0.0,Monthly Rebalancing
2024-05-06,991911.2227599999,-0.006115302650370542,Monthly Rebalancing
2024-05-07,978804.88276,-0.013213218783361968,Monthly Rebalancing
2024-05-08,990019.4927599997,0.01145745203924319,Monthly Rebalancing
2024-05-09,969132.50276,-0.021097554293371047,Monthly Rebalancing
2024-05-10,978148.03276,0.009302680463532727,Monthly Rebalancing
2024-05-13,991935.8927599998,0.014095882768475477,Monthly Rebalancing
2024-05-14,990939.90276,-0.0010040870657765939,Monthly Rebalancing
2024-05-15,996958.32276,0.00607344601144563,Monthly Rebalancing
2024-05-16,1007377.13276,0.010450597344085849,Monthly Rebalancing
2024-05-17,1019146.99276,0.01168366802982035,Monthly Rebalancing
2024-05-18,1026313.9727599998,0.007032331990295641,Monthly Rebalancing
2024-05-21,1016268.4027599999,-0.00978800860811146,Monthly Rebalancing
2024-05-22,1014150.0727600001,-0.0020844198188654955,Monthly Rebalancing
2024-05-23,1021427.2127599999,0.007175604671796859,Monthly Rebalancing
2024-05-24,1023841.3127600001,0.0023634576892435305,Monthly Rebalancing
2024-05-27,1029924.84276,0.0059418680650816435,Monthly Rebalancing
2024-05-28,1020810.31276,-0.008849703999347024,Monthly Rebalancing
2024-05-29,1012303.6227599999,-0.008333272003297292,Monthly Rebalancing
2024-05-30,989380.02276,-0.02264498465144264,Monthly Rebalancing
2024-05-31,987294.7270800001,-0.002107679184973505,Monthly Rebalancing
2024-06-03,1015430.9770800001,0.028498329048322904,Monthly Rebalancing
2024-06-04,948242.0770800002,-0.06616786518883841,Monthly Rebalancing
2024-06-05,975652.7270800001,0.028906806249737172,Monthly Rebalancing
2024-06-06,986213.0270800001,0.010823830761592428,Monthly Rebalancing
2024-06-07,999776.4270800003,0.013753012409660552,Monthly Rebalancing
2024-06-10,1001014.3270800002,0.0012381768228076578,Monthly Rebalancing
2024-06-11,1003969.5270800001,0.002952205498017589,Monthly Rebalancing
2024-06-12,1009751.3770800002,0.005758989535087127,Monthly Rebalancing
2024-06-13,1015754.12708,0.005944780206547996,Monthly Rebalancing
2024-06-14,1028708.0270800001,0.012752987809401144,Monthly Rebalancing
2024-06-18,1031973.62708,0.0031744673065974846,Monthly Rebalancing
2024-06-19,1034879.0270800001,0.0028153820250436585,Monthly Rebalancing
2024-06-20,1038788.7770800001,0.0037779778096689184,Monthly Rebalancing
2024-06-21,1040501.32708,0.0016486027167271998,Monthly Rebalancing
2024-06-24,1045190.2770800001,0.00450643346429838,Monthly Rebalancing
2024-06-25,1038181.37708,-0.0067058603143355395,Monthly Rebalancing
2024-06-26,1039471.17708,0.0012423648010598607,Monthly Rebalancing
2024-06-27,1054849.5270800001,0.01479439770826521,Monthly Rebalancing
2024-06-28,1053303.1270800002,-0.0014659910824253773,Monthly Rebalancing
2024-07-01,1051344.6119399997,-0.0018594031382304491,Monthly Rebalancing
2024-07-02,1043165.8919399999,-0.007779295111341299,Monthly Rebalancing
2024-07-03,1053881.7019399998,0.010272392994053418,Monthly Rebalancing
2024-07-04,1051698.77194,-0.0020713235612512936,Monthly Rebalancing
2024-07-05,1065138.3719399997,0.012778944274327438,Monthly Rebalancing
2024-07-08,1069556.0719399997,0.004147536241656316,Monthly Rebalancing
2024-07-09,1067734.9619399998,-0.0017026783801027598,Monthly Rebalancing
2024-07-10,1063039.9219399998,-0.00439719609018841,Monthly Rebalancing
2024-07-11,1066788.1219399997,0.0035259259061124044,Monthly Rebalancing
2024-07-12,1072668.1519399998,0.005511900516202733,Monthly Rebalancing
2024-07-15,1081269.10194,0.008018276653823209,Monthly Rebalancing
2024-07-16,1082980.3719399997,0.0015826494967158924,Monthly Rebalancing
2024-07-18,1076552.53194,-0.005935324560393761,Monthly Rebalancing
2024-07-19,1053190.79194,-0.021700510942927236,Monthly Rebalancing
2024-07-22,1059964.6419399998,0.006431740622724477,Monthly Rebalancing
2024-07-23,1055683.89194,-0.004038578109704609,Monthly Rebalancing
2024-07-24,1058177.2619399999,0.002361852841590568,Monthly Rebalancing
2024-07-25,1051540.32194,-0.006272049342500678,Monthly Rebalancing
2024-07-26,1072102.5719399997,0.0195544094420119,Monthly Rebalancing
2024-07-29,1078426.27194,0.005898409504379113,Monthly Rebalancing
2024-07-30,1091924.0089000002,0.01251614255995363,Monthly Rebalancing
