date,portfolio_value,daily_return,strategy
2024-05-03,998014.3827600001,0.0,Daily Rebalancing
2024-05-06,989984.3978,-0.008045961159190089,Daily Rebalancing
2024-05-07,972097.8759999999,-0.018067478477184647,Daily Rebalancing
2024-05-08,974156.0481799999,0.002117247893256372,Daily Rebalancing
2024-05-09,958442.1858799999,-0.016130744483245772,Daily Rebalancing
2024-05-10,961338.2454799999,0.0030216320219054226,Daily Rebalancing
2024-05-13,977945.4110799999,0.017275049315975073,Daily Rebalancing
2024-05-14,988771.3827000001,0.011070118533553394,Daily Rebalancing
2024-05-15,987256.0355599998,-0.0015325556205544883,Daily Rebalancing
2024-05-16,991090.1210200001,0.0038835776352843664,Daily Rebalancing
2024-05-17,997147.6170799998,0.006111952819956971,Daily Rebalancing
2024-05-18,1001275.4445799997,0.004139635325096232,Daily Rebalancing
2024-05-21,1017511.3252999996,0.01621519913215318,Daily Rebalancing
2024-05-22,1021979.5226799997,0.004391299898979262,Daily Rebalancing
2024-05-23,1032703.7350399995,0.010493568728145365,Daily Rebalancing
2024-05-24,1030003.4550999996,-0.0026147672835668896,Daily Rebalancing
2024-05-27,1035733.4289199996,0.005563062717535999,Daily Rebalancing
2024-05-28,1026496.5297199996,-0.008918220598162663,Daily Rebalancing
2024-05-29,1025025.1319599997,-0.0014334171791124523,Daily Rebalancing
2024-05-30,1010373.7512799996,-0.01429367946518975,Daily Rebalancing
2024-05-31,1034904.2285799996,0.024278616966170594,Daily Rebalancing
2024-06-03,1061394.2902799998,0.02559663103932566,Daily Rebalancing
2024-06-04,944389.9351599996,-0.11023646555431724,Daily Rebalancing
2024-06-05,982400.3932599996,0.040248690381860276,Daily Rebalancing
2024-06-06,1006761.3315599996,0.02479736212152832,Daily Rebalancing
2024-06-07,1014873.3663599996,0.008057554999088255,Daily Rebalancing
2024-06-10,1013233.6526599996,-0.0016156830540160563,Daily Rebalancing
2024-06-11,1013521.5478599996,0.00028413505536874835,Daily Rebalancing
2024-06-12,1024453.0327599997,0.010785646267789217,Daily Rebalancing
2024-06-13,1036618.4979999997,0.011875083435718576,Daily Rebalancing
2024-06-14,1037270.5849799998,0.0006290520391621822,Daily Rebalancing
2024-06-18,1036296.9773399999,-0.0009386245538031106,Daily Rebalancing
