Date,MOTHERSON,NMDC,BANDHANBNK,EXIDEIND,GODREJPROP,DLF,M&M,TCS,LUPIN,PIDILITIND,PFC,GODREJCP,JSWSTEEL,BEL,APOLLOHOSP,IBULLSLTD,ICICIPRULI,ADANIENT,SAIL,LTF,HDFCLIFE,MUTHOOTFIN,BIOCON,VOLTAS,BANKBARODA,BOSCHLTD,HDFCBANK,HINDALCO,RECLTD,ADANIPOWER,UBL,CANBK,ICICIBANK,INDIGO,CIPLA,BALKRISIND,HAVELLS,BHARTIARTL,IDEA,TATASTEEL,LTIM,DIVISLAB,RELIANCE,AXISBANK,CHOLAFIN,IDFCFIRSTB,INFY,DRREDDY,UJJIVANSFB,PNB,COLPAL,MRF,INDUSINDBK,INDUSTOWER,BRITANNIA,TATACHEM,NCC,TORNTPHARM,SHREECEM,BPCL,HINDPETRO,M&MFIN,AUROPHARMA,NTPC,OIL,ACC,FEDERALBNK,DABUR,SUNPHARMA,KOTAKBANK,GRASIM,IGL,YESBANK,HCLTECH,NATIONALUM,NMDC_zerodha_original,ASIANPAINT,BATAINDIA,GAIL,ASHOKLEY,MARUTI,LICHSGFIN,JUSTDIAL,ULTRACEMCO,ABREL,RBLBANK,TMPV,ADANIPORTS,VEDL,SUNTV,WIPRO,BHARATFORG,UNITDSPR,TITAN,SBIN,POWERGRID,GLENMARK,BAJAJFINSV,CUMMINSIND,HEROMOTOCO,TATAPOWER,SRF,PETRONET,BAJAJ-AUTO,AMBUJACEM,APOLLOTYRE,BAJFINANCE,COALINDIA,SIEMENS,PVRINOX,ZYDUSLIFE,BERGEPAINT,JUBLFOOD,PAGEIND,GMRAIRPORT,POONAWALLA,ARE&M,ITC,JINDALSTEL,TECHM,HINDUNILVR,BHEL,MGL,IOC,ESCORTS,ONGC,TORNTPOWER,COFORGE,EICHERMOT,CONCOR,NAUKRI,MFSL,LT,CESC,TVSMOTOR,NESTLEIND,ZEEL,TATACONSUM,MANAPPURAM,UPL,RAMCOCEM,SHRIRAMFIN,MARICO
2020-04-01,20.088138956930894,19.450509884802795,21.320406222587053,19.52441950726593,19.321576784108277,20.419357337883163,21.212918869862932,22.85677741405704,20.43845871413034,20.53923785119036,19.952170853633188,21.214036685411585,20.564694160901016,20.31779444281849,20.825538024093248,16.59287953655142,20.229580369505708,19.405215906715004,19.830068287060044,19.986862829581103,21.88260834536902,20.663642465711277,20.997436624849932,20.539898919653513,20.351584384484465,20.094184205440374,23.214166026023474,20.560384714511752,19.711342881867523,18.869245214608537,19.577909228231913,19.923134177925668,23.05659010694514,20.9099906012116,21.686028170438064,20.885134788321665,20.345672690425857,22.10704753822884,20.11353976516939,21.71448776684801,18.98839585223339,21.50573721565367,23.745996840050505,23.020913220457608,20.105528572001013,19.629640974565454,22.78847581652073,21.512038402628264,16.899353777094056,20.485591738058492,20.678254826571127,20.853068744394434,23.160455616700585,20.02600513805886,21.819730714409946,19.808699763618353,19.825946072419466,19.062366979230028,20.51245013738443,21.93860752152819,20.80272055646571,19.928988582998155,21.021235800697163,20.874091533997053,18.95562748747683,20.706710844894378,20.35785938048645,20.658193836040475,21.557287853624615,23.2732851663552,20.73278012076469,20.87179356643462,21.495581557799206,21.936679330191016,18.65323321415699,19.53140520365919,21.639604511751287,20.210896732126148,20.925775501271975,21.01821974633663,22.449875073170446,20.82308801191943,20.935215935621244,20.92765764366494,20.01963046185856,21.516248896413266,21.676630810335585,20.710762853183233,20.589942652359376,19.690356512610546,20.637108563978803,20.411911897820843,20.824466751209997,21.734207467364936,23.013642572090173,20.891140461382417,19.994771350767195,21.95041484958073,19.725607851825405,21.625674673707984,18.997890133407065,20.301550007229928,19.95532818348978,21.277099724722916,19.859130824995223,19.609614100203437,23.37838281873649,20.86038894069095,19.544230783942382,21.220677270226414,20.504231944653462,19.998095102031456,21.169873027221314,19.37976851226681,18.024291376433986,15.022546964664462,20.184317296092203,21.828002902781787,21.975095991577604,21.39227418477036,22.52296881941022,19.618232608494633,19.22766087595934,20.14695027647945,21.786593552419113,21.008831630809496,18.980144596917683,19.791150315976907,19.01046213639536,19.84278587877312,20.331191196520557,19.696589793467787,21.87960895703578,18.72043384945322,20.463921008834472,21.414447511664655,20.47241361528728,21.160913405728575,20.464297930519763,20.52471715893405,18.88616200895659,21.291284972503078,20.44954853888709
2020-04-03,19.984590387742198,19.414072395536408,21.240021587671066,19.40259703392527,19.040665695195123,20.50080242534724,21.32015064623409,22.901568051679114,21.661371230910625,20.894274012263956,19.70293472459685,20.942612655885366,21.26877470246977,20.31289131998777,21.431785432616234,17.223855441932432,20.600026249878663,19.30676721666447,19.711949691736862,20.00934116095072,21.836202215363432,20.592118625045796,21.19508168402366,20.240718476585847,20.41755766766132,19.824157837139044,23.291400812311835,20.470254838847328,19.606564713117095,18.769294867723993,19.745232535483453,19.77585343516653,23.285670024962258,21.241061160776923,22.417691155488896,20.523265181018736,20.519210838491336,22.33422420611512,20.170134529257677,21.679695219098317,18.73990028085769,21.54164825240947,23.740411119479795,23.142586802432824,20.04976287545045,19.705215856920486,22.643871416427974,21.81026916083078,17.70691238485456,20.340861490176003,20.807263276456883,21.115859543752002,22.90244521370041,20.60276106259235,21.61011361884339,19.690662047101895,19.775901231979653,20.86540411837268,20.722845911890225,22.054290795690807,20.946124807131252,19.943112972653356,22.0942432291798,20.98536413614443,19.13663047474254,20.79945440202194,20.225780315199376,21.035847804918607,22.614367584055255,23.204036868017045,20.520310174306175,21.14321287943085,21.215126282472454,21.91958533533671,18.84959838979939,19.497697349116375,21.95022697333305,20.42087976476806,21.00508698191789,20.93782268816348,22.53400572316275,20.73446923243557,20.662081029552205,20.915333206816513,19.733206869797577,21.940006273009292,21.59863649444897,21.042698633787282,20.612782575933334,20.040495164927872,20.739037131928814,20.213701131638512,20.91838416024317,21.947875978395448,23.055678071733976,21.119180615860408,20.41243855934825,21.928628214268446,19.77409749874849,21.572591550919437,19.318784637727614,20.593539618455313,20.110859287070454,21.160921780455897,20.013638660153042,19.560424530919494,23.355305588069523,20.960520868619096,19.507176516294894,21.18379685799259,20.740833145228503,20.117441762541844,21.19933456320344,19.52480560377518,18.8772411225093,14.830566403570158,19.77176601178132,22.69805708737643,21.83633735451597,21.60128748684427,22.72845508930642,19.575150408292007,19.808504393863828,20.427514880403045,21.66543961239112,21.411964802099096,18.746098376361736,19.905360312923424,19.1263110895855,19.885494923276507,20.290319267998203,20.114902909805657,21.899782396969748,19.371712658733227,20.462127436215848,21.60029218767385,20.596020182469758,21.154440424233186,20.280754666816236,20.602683833444093,19.22278843836863,21.464187700832934,20.56365821090096
2020-04-07,20.2079201098044,19.472059872226403,21.9951931270334,19.56930023526313,19.69070426294344,20.58944877794218,21.65540418929942,22.97772076377342,22.037969756765005,20.962109616553093,19.716691327342296,20.93803421753086,21.492904961365042,20.404478839300754,21.415112929883566,17.09727188849245,20.7088557478654,19.47324623419642,20.126218149146798,20.29226819672546,21.905671686189844,20.796389258042332,21.512956018165582,20.414618899166744,20.52150355567675,19.736575894976003,23.64611684103662,21.07750928006649,19.843338268161663,19.00131752125455,19.803336844454705,19.89285578549594,23.502226831353358,21.267204475174317,22.724331417884567,20.44712401372776,20.45270851623425,22.530826436646933,20.07890135373437,21.874418869357935,18.705304439082425,21.882970960406073,23.95176552370734,23.44360306033225,20.53404779235429,19.84581063976698,22.826220741785,22.34838494715368,17.570297640872525,20.329597394858215,20.814537014862353,21.055429113509533,23.293635886879336,20.74087977176575,21.750663231190657,19.839728324967304,19.903524976595715,21.27595795527412,20.9172052518961,22.089049424695865,21.11795489712543,20.647592917662994,22.247084943789446,21.50465408524409,19.258516636489205,20.9751863989245,20.341557114866244,21.275499608214627,22.924107991336495,23.189833652452553,20.796169188109328,21.18624145770293,21.058022319181088,21.93221474744437,19.13601420159793,19.554327237642106,22.086127571634048,20.607093530094616,21.083583694112004,21.08827360623842,22.887544357403574,20.863748716630184,20.623678078262575,21.179411776975275,19.747431307111476,22.06982519436297,21.675288287299267,21.154185354168508,20.973695019290506,20.23733755272608,20.745140108538948,20.495741092623497,21.128816778037486,22.061767148838122,23.189415076687986,21.257266325208054,20.59953257481429,22.137187755829903,20.22844422437639,21.640213252256792,19.582860291975575,20.7332028303344,20.15816156494993,21.391420061025606,20.356275699571682,19.48281851969407,23.602949766327626,20.91922638093628,19.50895933406463,21.238283001230037,21.469777829571353,20.27526407690364,21.266727323022792,19.70605978579928,19.28058984903291,15.053700873545406,19.856365150943343,22.681562602757296,22.160328725444394,21.55689675772856,23.25343649421362,19.669771888402163,19.973426023347912,20.542833194390155,21.759976853565398,21.456875590066275,18.852688681915705,19.887556773634124,19.3145300181179,19.977212559324567,20.411509807336405,20.403891970424773,22.05273205291988,19.542452134374166,20.86969859448521,21.889511678965565,20.90019426945425,21.25898907031872,20.54605165675164,20.755328651885783,19.6049807097392,21.702191603852384,20.79734160116837
2020-04-08,20.58843867103303,19.559120863038892,22.246371423365392,19.49036674600374,19.734949158258406,20.633005864799014,21.68896158613858,22.97945993115777,22.118755421075505,20.94551070436519,19.784827440395212,21.04330289648415,21.499211215266197,20.503302533248412,21.511116069892715,17.004346377161127,20.765391385019434,19.604410748703017,20.457903756042796,20.402956380980438,21.927235364071976,20.94663534820975,21.777587001066465,20.54055199493867,20.599275262181884,19.707128737683256,23.72297117709827,21.222699129588953,20.029153706972494,19.22910658906983,19.835011695635785,19.980698209309235,23.59722837981687,21.404987145500012,22.836236215425544,20.305771133174265,20.559218594408286,22.52061742598988,20.0413686638781,21.989672060322416,18.68378693024317,21.87858562851242,23.96235912532886,23.603304893325173,20.733374158350593,19.947251014908726,22.794665735966795,22.553879733102498,17.474290023571793,20.413179799178653,20.91724494071754,20.949295297665312,23.482718030529405,20.851162225590674,21.742831189637066,19.793586631356213,20.100447209173865,21.71578737134181,21.039729914188495,21.9930716043833,21.023809500463162,20.86497831921597,22.29777351600698,21.64857874320837,19.274210993414158,21.079624734141383,20.602064788643826,21.426846541083314,23.038255505965676,23.11737368802416,20.823325612010443,21.17151736281544,20.9757552269047,21.97722422501443,19.284894001797838,19.628334194472064,22.074434380754084,20.801747511980704,21.19923710273196,21.391748367975328,23.02842017002225,20.886970553005707,20.633061758587306,21.25525058535872,19.86011910076144,22.181007453000156,21.930075932883497,21.192880968431975,21.186610625686214,20.50601394877471,20.736315293737047,20.644513889607182,21.15806618535008,22.113236762811752,23.237053228461217,21.277994517043236,20.676624590249045,22.17964084160216,20.71117168114996,21.644827699320427,19.736782481950065,20.879973816913946,20.465574785856486,21.364210852918752,20.594571020607404,19.443866904901817,23.674919455845696,20.83712773170145,19.589999570497636,21.293254145610213,22.29773402069219,20.313512666915248,21.215190880437948,19.736455144740937,19.300393502693616,15.329516681950018,19.83310001244466,22.655977814743625,22.255286481080795,21.552847918041095,23.46425188982338,19.836361868244083,20.22096485982932,20.618138744632127,21.73345629088778,21.474831098972775,18.957128595229197,19.857401670083394,19.43708188914403,20.007438507232454,20.41665470458733,20.32909737587222,22.13295312668324,19.431284568067852,21.03773426855238,21.95638718995393,20.955688833896858,21.264652193514042,20.811962047506512,20.85167259267414,19.70283047492596,21.816728562134255,20.924571382458844
2020-04-09,20.94948562212086,19.563540098719535,22.202989757714835,19.762837048177015,19.639378714824357,20.72819731985137,21.91614058196038,23.004013889165034,22.47882758626071,20.902585730887864,19.776791769505618,20.990329029967562,21.58895367357688,20.518423742667284,21.454266894758167,16.8543959162154,20.827772472061987,19.63482488435158,20.473874140390173,20.47441046654855,21.817029053343674,21.003173912778134,21.738826014106245,20.711396730819395,20.692170981014048,19.690796433947053,23.759675558302284,21.269801784039114,20.073278712820535,19.303908994929028,20.12560182691794,20.156350488888318,23.65787481445608,21.428193297248587,23.087418079609225,20.45073205860481,20.65081622667326,22.55704067741578,20.01832143897699,22.014395066973904,18.988878075459542,22.077715323292075,23.9246726621112,23.6680074299896,20.905043749200782,20.139543798934948,22.791865970014,22.568117708384047,17.492316396936523,20.428365449300493,20.842681662298123,20.961197393100488,23.439235053317784,20.801614895636625,21.730832817136303,19.777704085381842,20.292840632006154,21.771198159369472,21.11009907897954,21.93458105055529,21.11012562060879,20.920306183473503,22.341538499781375,21.52326049905124,19.43336137216347,21.269032222542112,20.71557832888009,21.47894913843435,23.150293498159893,23.161906013765496,20.88832256681002,21.197916881035823,20.87784589923868,21.92169725389997,19.320814680610326,19.647777094795398,22.02152608580575,20.828333785014514,21.13909794592174,21.39373967506957,23.297988992811938,21.125284167716465,20.656330001452343,21.280188221920685,19.8302145870625,22.134832257700904,22.255995236669836,21.162425247396484,21.34564250632878,20.604624868743624,20.682971878157414,20.592124720465826,21.35886599427697,22.390032095186093,23.247517313299088,21.269682791305996,20.77899615087638,22.210068937595178,20.770372697879367,21.85460966019685,19.686648560281032,20.98369904635742,20.516732600613242,21.639479582057163,20.74946256465657,19.770931464451007,23.740000293091384,20.77402274949294,19.764008152659123,21.366822406877116,22.40314760284965,20.249085812048666,21.121046982886625,19.795634395630593,19.204003904384958,15.419610959195087,20.110358896918335,22.712535853091968,22.27261533243305,21.593713693497275,23.377807253101345,19.976601254588868,20.20188724442884,20.615108421261017,21.759853970188058,21.434377587148273,19.059882514267215,19.80016275109073,19.615610572291676,20.436825775652686,20.336837320156715,20.31296191055706,22.19136734473988,19.347485485406743,21.127349860863365,21.958512418220252,20.995113154306985,21.375024005595453,20.861525482064007,20.910155666110015,19.794480039107928,21.877043841770934,20.959494202008322
2020-04-13,20.851567726348645,19.61679392121566,22.201776370111233,19.670430075120024,19.54676043135947,20.79865478910136,21.84827368702264,22.920302632851875,22.583776205226783,20.947916926739914,19.717552055883054,21.01127106337207,21.56460349833695,20.499277510785387,21.39084928596911,16.83846896374304,20.79274578317098,19.6478434435739,20.444587837379867,20.38121650549655,21.76957700222795,21.05138425740639,21.853207397693758,20.700559655216896,20.60053190879728,19.579653643693717,23.686057543215757,21.398348396559772,20.036532002828356,19.304065958633416,20.193863509944673,20.088972943300075,23.546742191329358,21.492173756531,23.083653056126902,20.33110211226392,20.60740611640505,22.73963755580088,20.78263624802025,22.010732950282907,18.967964713516785,22.10121890379719,23.818920379957795,23.62068567849244,20.793686637909975,20.13588475784325,22.73705562540905,22.65547797454494,17.444982321245604,20.371875372598343,20.75220031132616,20.8565872363489,23.445353966593327,20.74108394303267,21.611487800412043,19.85831096430391,20.58943506860869,21.716122802444044,21.130965790836477,21.855223572501483,21.023196800620443,20.74567717561225,22.473824804230702,21.590002052965296,19.513704952844925,21.498523918780784,20.681919130465992,21.404055617898045,23.204229976149772,23.052398817451625,20.989359601239755,21.180282877847887,20.76848171875015,21.77745671334258,19.33907926286187,19.7103755285131,22.06651389857249,20.840990082756186,21.013706524448455,21.381811345639928,23.271205482193363,21.01496725418637,20.697375867839074,21.482803552583462,19.800836333603353,22.048839049375673,22.27321376245884,21.22693900007583,21.375713137730312,20.674425693823054,20.683683350567755,20.439173248825217,21.37773822560095,22.315937181638557,23.187247906400906,21.201070711816037,21.409087059964833,22.134764248427313,20.738479875301156,21.80397372423485,19.585185936272005,21.03867396443413,20.38583221396806,21.558697402043318,20.93354142075005,19.904691751783748,23.636066000032645,20.863154642259634,19.943111263679807,21.296785266149925,22.407002808524165,20.294073519731874,21.11758467066427,19.738212890285574,19.140500652412285,15.419470822104625,20.11036656808114,22.596462262573677,22.21012883272091,21.52580520657585,23.287497929721663,20.073366300558497,20.33602688444979,20.546464987994614,21.71486365555752,21.367835953209532,19.163139700237828,19.697034710818404,19.50825399848573,20.52517483125395,20.310198298710215,20.268838143618286,22.37514306458191,19.65100180421744,20.985522020573377,21.840102602294554,21.197783409553384,21.292268984887407,20.762360020805136,20.974778641249493,19.932421951455108,21.771799112022883,20.912916817072052
2020-04-15,21.17661539056789,19.620966773606504,22.17819198412309,19.687080177845928,19.493576329508127,20.84082627458525,21.86741214905292,22.89658792574908,22.550231799780565,21.134202518372756,19.842205153708512,21.05994962369952,21.62502651238631,20.488297128492544,21.52033005977435,16.78320149024309,20.74065240318232,19.706581012405074,20.421032847235093,20.372902283754758,21.707415988988863,21.15795455571192,21.83196296951847,20.871642105073754,20.569624829487456,19.727620361481378,23.69704262791547,21.62016522048971,20.117725539634183,19.41925322153198,20.182259311650828,20.126000031715876,23.53170073711649,21.490770806798075,23.06947100231199,20.310459552773906,20.803671607759494,22.83927787755903,21.04064058092087,22.07561642319751,19.043875041851855,22.075970905314993,23.76635947520416,23.63326442708298,20.79273403863939,20.189287997654787,22.74219051001433,22.662449507187883,17.40572865842948,20.357434563945723,20.830437060279625,20.83720116454805,23.443868385003658,20.689435040107448,21.67671183526098,19.978953431917915,20.76684205869601,21.66952853714801,21.240248928296594,21.812733889205862,21.03171848887579,20.729421024695025,22.51132310458511,21.589476913020043,19.512699539909843,21.623762167929836,20.725284458615217,21.45879286602627,23.21150014423334,23.003189851528646,20.95624094102742,21.21462787160828,20.772380949266854,21.82283861233039,19.378732432826702,19.714516563314127,22.102728619165077,20.872572591427854,20.985500472919085,21.438331888013057,23.21544928445261,21.009152244452885,20.728330287027983,21.65563620503905,19.869030095323,22.055988277908817,22.29439599298918,21.279013655720618,21.406839570610828,20.672051181113385,20.826619874372447,20.371170281015083,21.41958443376317,22.312165587868666,23.198976771102462,21.247942505821552,21.758083385136857,22.16927038921254,20.74954568465491,21.739718217501846,19.550244292381652,21.02273004365282,20.367451674225123,21.532371740242368,21.00020268377185,19.956917559850563,23.60959450977651,20.903241408150155,20.07925250380297,21.406779813328207,22.32894897569218,20.445486795294702,21.254970549550357,19.87819552323392,19.36630463263979,15.44682855173719,20.116162408296958,22.689683043814934,22.12373029545259,21.602999753513515,23.827069698775333,20.142452944051115,20.356355100955973,20.537764515050103,21.850276457877968,21.33131201156943,19.482926055609873,19.784717281618555,19.536212824362778,20.500321266789495,20.564309906539613,20.61351583136761,22.49134512039472,19.702531493849687,20.958838138769575,21.860563761619407,21.3336334445433,21.32465738933972,20.703183812747266,21.557618604560925,20.06409137928418,21.762323624743537,20.97516257786151
2020-04-16,21.460033406396356,19.558709580512883,22.232333366767126,19.78048945119056,19.585413157480417,20.875694183909587,21.838203211214992,22.91425748847795,22.50687578975656,21.135418616247172,19.86656011008613,21.011806157360525,21.585722718852924,20.633220901307837,21.538399706800845,16.73738808816481,20.797897729352268,19.702709843120335,20.405676733767667,20.622900624467952,21.731404201142983,21.272173105777725,21.87274905202373,20.939562277830632,20.57199657286325,19.713160709025427,23.739316221690114,21.652655903163183,20.098406687598526,19.383236120697983,20.142816871202996,20.163768333936925,23.589771171608213,21.482749648691865,23.047568611663742,20.426235793574953,20.785714816844475,22.825771905273626,21.071143348834926,22.102135138787983,19.078542370050766,22.054338875607236,23.774444377307496,23.64108198429163,20.8518330532863,20.27104364118168,22.779821214131662,22.651372910428716,17.385620862949843,20.33986972761668,20.84335629812558,20.904691600470684,23.426437427307835,20.696348028489915,21.643366301683752,20.27155931136271,20.83255724206627,21.670881625287233,21.30981016388981,21.769942232708267,21.012696996409534,20.8201408311648,22.549330598489433,21.619013276423797,19.5156084050015,21.596830800073686,20.6998920232827,21.438438776745063,23.196146272065,23.00605893252837,21.03522388523191,21.25302287571628,20.703578458864786,21.862954770948505,19.364128442960318,19.644464338033814,22.090220626051664,20.942734305218096,20.9894984107955,21.393122213504306,23.18934806869751,21.046916306761023,20.800023362467233,21.62275208829562,19.887090110055357,22.049211119313686,22.28316047960623,21.210160586060507,21.529364488373368,20.787405131294197,21.11209825136432,20.34493700448223,21.40888754361945,22.372978572203632,23.2243735821217,21.343614081663702,21.755956268758027,22.166782514733345,20.75477681102792,21.70086302704901,19.549012957156208,21.038580300261433,20.455177008074184,21.52643295995595,20.99035620759603,20.247558572855993,23.612817541246073,20.921134678552715,20.166878747755323,21.51150801853639,22.278616365733573,20.450799546615272,21.409237348519056,20.01628935011921,19.338653232181215,15.684403121427708,20.10833667942353,22.637743937384283,22.059230034929435,21.616584066496678,23.755077448604517,20.161011644029617,20.36220452681994,20.54094983837701,21.837002466783495,21.3359150320888,19.47575313070294,19.80570565215775,19.551833218722297,20.451064790253668,20.63071280017136,20.843500851167107,22.532557817016883,19.704376443994366,21.015436705324984,21.92421957768274,21.382435600549528,21.402141717602944,20.745288926479873,21.658677331248747,20.12999306376163,21.794176309732187,21.039373481655154
2020-04-17,21.68749732707707,19.562925716949632,22.322030416636053,19.805713295825697,19.55113085189422,21.139667615622056,21.82497073475052,23.06063198680922,22.44079357357,21.103379547370356,20.0496861316357,20.986243050637523,21.593252289501493,20.694752026499035,21.512224020059847,16.732971483504905,20.979324516251946,19.70119800960155,20.484355302218987,20.882965196993194,21.76145700711419,21.358487529858152,21.900808375710877,20.97397736294789,20.656788321202846,19.72565594454457,23.795966957578287,21.64746390336977,20.22045091148506,19.466979998982364,20.12946421876819,20.27893416271417,23.720735746954535,21.57469746975405,22.984899281888232,20.510583009562495,20.841331273908978,22.828168576681563,21.10094203859452,22.12963112905537,19.06294874664738,22.010469508277605,23.803311043087255,23.77627763524224,21.02684290540024,20.426343010336364,22.754705542148518,22.671129712504424,17.588700412873205,20.390753022663663,20.791683925923465,20.901694706638693,23.485743859250714,20.65256158617067,21.618939476058618,20.27789098423731,20.885451086830724,21.643910415168005,21.28684340372544,21.725993652041762,20.978917930151496,20.98708749533944,22.513149398175436,21.584576551539232,19.477556700409927,21.592379922991352,20.86898668393444,21.394049911711086,23.156306891920252,23.052807435094124,21.04816530463727,21.25149662485972,20.68605632223035,21.81832450308177,19.375241977210017,19.648679804424475,22.054765916586906,20.998095569921414,20.958945298610494,21.393358225373586,23.254778849307968,21.1565784251894,20.904258190949943,21.63414456374928,20.005656599954314,22.09842392714774,22.30246535257375,21.16333645749358,21.52467936939967,20.751254716824864,21.088588281819895,20.8023880656014,21.478884726625868,22.373041177664174,23.291557043691338,21.357620393955173,21.710635078221113,22.28276693287649,20.728948588362712,21.711812723397696,19.57625901074833,21.014441284701146,20.458246596920574,21.512351665086463,20.94999790978183,20.316531158941995,23.68082025679213,20.907610315189554,20.136762038978514,21.582040315420148,22.20066939637438,20.410931435223986,21.488358569206184,20.067283841947354,19.37961350924137,16.003948714174868,20.16681325730501,22.617147453158694,22.036844553194168,21.719076882732804,23.680654626361214,20.18254236955056,20.45967392670512,20.522780005942934,21.903622881800146,21.29612851569062,19.649537571475324,19.866707514344903,19.799819293378988,20.464220687567188,20.724699971583547,20.7937441156829,22.54105965247774,19.990993478703302,21.194027932286087,21.892674797536586,21.421366653627246,21.38066401966277,20.828807570143347,21.631871681056086,20.160592972176396,21.96204110780401,20.983217715063784
2020-04-20,21.65471756093247,19.659307097644742,22.315724306454385,19.954823415230827,19.502944988404977,21.183224689742385,21.76197958720041,23.0231264462034,22.357060915510132,21.061331241415786,20.02640324831805,20.921872522875624,21.530183070909523,20.894558153217336,21.582646859246676,16.77348273418616,21.114425544133756,19.88020282961098,20.43879159500706,20.829186995934393,21.759660339701686,21.48909534762952,21.908241216535888,20.950106181875082,20.784824696598513,19.72060123661269,23.871872276707286,21.57376045702111,20.20983391540178,19.815639629308503,20.073895137731462,20.48900747566195,23.686659633346146,21.52760240654957,22.89798130033689,20.457724696543114,20.900266723143496,22.773437879523765,21.02768408798666,22.07562315603326,19.199227047606318,21.966386842996258,23.812011891592917,23.722687777243205,20.9410674517705,20.383567258399893,22.802819272103438,22.633168368531976,17.836874684726737,20.49794591927409,20.738523724697938,20.84708437320422,23.397135828014065,20.606081387389118,21.59621843555982,20.28520816901913,20.873553908994108,21.65300601843673,21.240125487744024,21.722918711559593,21.00787193302978,20.873449780565192,22.481036846598265,21.590326418098247,19.400284338927058,21.5906404787478,20.894679304208037,21.380506285750144,23.1627307231127,23.021068329575336,21.025578206048518,21.24444604748274,21.027815455953,21.8229588670697,19.555683315211883,19.7329322624091,22.005759276403715,20.946476138496774,20.901260817220308,21.35592845070051,23.190307629914926,21.14249211639282,20.859608745864897,21.583764340171086,19.981823966214517,22.016851292345,22.44273176314513,21.10867952731262,21.466399484308457,20.72851761702595,21.059561323462532,20.890840003603873,21.418981054814115,22.319557066231976,23.308874740304216,21.360035562417547,21.66107682306829,22.25390189750023,20.673852161788396,21.737780351913884,19.70554374545268,20.941834535360922,20.499891762094943,21.455436009743952,20.869459071106352,20.31650508163479,23.64502424486169,20.85852146855055,20.07377799729852,21.492030674441967,22.172676664253476,20.361969197923532,21.486278881744227,20.20417504302056,19.382937596975637,16.281081482490375,20.14907673976823,22.578267676170952,21.95090246696193,21.72898005451354,23.59504933345992,20.309107888685535,20.481603419271725,20.57607386925462,21.867469287688934,21.22698188261632,19.82072724554842,19.881006992947714,19.772949294569006,20.4420556027312,20.759989127885333,20.819111905245936,22.497140544086527,20.165227362308073,21.249124009617255,21.844739644955286,21.482481909277947,21.341396082775134,20.847858206722748,21.577014713374982,20.129034350541453,21.878144136668563,20.960332156853635
