stock,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days
M&M,2022-09-01,2022-09-08,1312.05,1321.9,76,748.6000000000104,348.23960000001034,0.75073358484814,7
CONCOR,2022-09-01,2022-09-08,554.2,585.8,180,5687.999999999984,5277.599999999984,5.701912666907227,7
BIOCON,2022-09-01,2022-09-08,301.6,300.2,331,-463.4000000000113,-861.7916000000113,-0.46419098143237747,7
RBLBANK,2022-09-01,2022-09-08,122.15,124.5,818,1922.2999999999954,1518.7805999999955,1.9238641015145275,7
TORNTPHARM,2022-09-01,2022-09-08,1535.35,1509.4,65,-1686.7499999999882,-2082.5674999999883,-1.6901683655192512,7
BATAINDIA,2022-09-01,2022-09-08,1917.2,1913.15,52,-210.59999999999764,-608.9563999999976,-0.21124556645106818,7
CHOLAFIN,2022-09-01,2022-09-08,789.3,801.4,126,1524.6000000000029,1123.743600000003,1.5330039275307294,7
AMARAJABAT,2022-09-01,2022-09-08,507.9,536.75,196,5654.600000000004,5245.097200000004,5.680252018113796,7
INDIGO,2022-09-01,2022-09-08,2038.35,1940.65,49,-4787.299999999991,-5177.241999999991,-4.7930924522285085,7
HINDUNILVR,2022-09-01,2022-09-15,2606.0,2560.4,38,-1732.7999999999965,-2125.4463999999966,-1.7498081350729056,14
MRF,2022-09-08,2022-09-15,85396.4,92868.45,1,7472.050000000003,7115.520300000003,8.749841913710643,7
PEL,2022-09-08,2022-09-15,303.1,314.8,331,3872.699999999996,3463.650199999996,3.8601121741999256,7
TCS,2022-09-08,2022-09-15,3169.65,3104.35,31,-2024.3000000000056,-2413.2880000000055,-2.060164371460582,7
BHARATFORG,2022-09-08,2022-09-15,765.45,784.75,131,2528.299999999994,2122.147599999994,2.5213926448494295,7
ADANIPOWER,2022-09-08,2022-09-15,80.4,79.85,1248,-686.4000000000142,-1086.384000000014,-0.6840796019900619,7
FEDERALBNK,2022-09-08,2022-09-15,118.05,122.05,850,3400.0,2991.83,3.3883947479881327,7
TATAMOTORS,2022-09-08,2022-09-15,304.45,307.95,329,1151.5,748.5408,1.1496140581376268,7
CESC,2022-09-08,2022-09-15,77.86,78.24,1288,489.43999999999414,87.32639999999418,0.48805548420240985,7
CADILAHC,2022-09-08,2022-09-15,374.65,370.9,267,-1001.25,-1399.3737,-1.0009342052582415,7
SAIL,2022-09-15,2022-09-22,82.25,80.4,1233,-2281.049999999993,-2682.144899999993,-2.2492401215805424,7
WIPRO,2022-09-15,2022-09-22,203.45,195.1,498,-4158.299999999997,-4555.255799999997,-4.104202506758414,7
POWERGRID,2022-09-15,2022-09-22,174.65,161.5,580,-7627.000000000004,-8016.934000000004,-7.529344403091898,7
HDFCBANK,2022-09-15,2022-09-22,760.4,743.0,133,-2314.199999999997,-2714.104399999997,-2.288269331930559,7
NTPC,2022-09-15,2022-09-22,175.1,168.65,579,-3734.5499999999934,-4132.612499999994,-3.6836093660765235,7
ULTRACEMCO,2022-09-15,2022-09-22,6790.05,6239.4,14,-7709.100000000008,-8073.924600000008,-8.10966045905407,7
TATAPOWER,2022-09-15,2022-09-22,245.4,231.65,413,-5678.75,-6072.7933,-5.603096984515076,7
AMARAJABAT,2022-09-15,2022-09-22,536.75,513.85,188,-4305.199999999995,-4700.225599999995,-4.266418258034466,7
GODREJCP,2022-09-15,2022-09-29,929.0,907.6,109,-2332.5999999999976,-2732.9787999999976,-2.3035522066738423,14
UPL,2022-09-22,2022-09-29,691.95,630.05,139,-8604.100000000013,-8971.616000000013,-8.945733073198948,7
DIVISLAB,2022-09-22,2022-09-29,3580.1,3693.65,26,2952.3000000000047,2574.0650000000046,3.1716991145498863,7
ADANIPORTS,2022-09-22,2022-09-29,946.65,816.4,102,-13285.5,-13645.1622,-13.759045053610098,7
CANBK,2022-09-22,2022-09-29,43.81,38.5,2205,-11708.550000000005,-12071.537100000005,-12.120520429125769,7
IOC,2022-09-22,2022-09-29,50.14,48.34,1927,-3468.5999999999945,-3848.1419199999946,-3.5899481451934556,7
HEROMOTOCO,2022-09-22,2022-09-29,2611.45,2376.65,37,-8687.59999999999,-9056.719399999989,-8.991173485994363,7
TATACONSUM,2022-09-15,2022-10-07,827.1,771.3,122,-6807.600000000009,-7197.609600000009,-6.74646354733407,22
M&M,2022-09-22,2022-10-07,1310.4,1238.85,73,-5223.150000000013,-5595.340500000013,-5.460164835164849,15
NCC,2022-09-29,2022-10-07,69.65,73.35,1303,4821.099999999985,4448.441999999985,5.312275664034449,8
COALINDIA,2022-09-29,2022-10-07,199.1,213.85,456,6726.0,6349.3896,7.408337518834762,8
TORNTPHARM,2022-09-29,2022-10-07,1545.8,1572.4,58,1542.800000000008,1181.088800000008,1.7207918230042862,8
CADILAHC,2022-09-29,2022-10-07,382.85,422.0,237,9278.549999999994,8897.051099999993,10.225937051064381,8
HCLTECH,2022-09-29,2022-10-07,923.05,957.7,98,3395.700000000009,3027.073000000009,3.7538594875683895,8
FEDERALBNK,2022-09-22,2022-10-14,122.9,130.35,786,5855.699999999991,5457.59099999999,6.061838893409277,22
ASIANPAINT,2022-09-29,2022-10-14,3384.8,3185.5,26,-5181.800000000005,-5523.455600000005,-5.888087922476959,15
NMDC,2022-10-07,2022-10-14,30.17439079284668,29.61498069763184,3099,-1733.6118850707899,-2104.1864095687756,-1.853923411595293,7
BANDHANBNK,2022-10-07,2022-10-14,274.9,265.45,340,-3212.9999999999964,-3580.4379999999965,-3.437613677700979,7
BATAINDIA,2022-10-07,2022-10-14,1784.65,1785.35,52,36.39999999999054,-334.8800000000095,0.0392233771327577,7
BHEL,2022-10-07,2022-10-14,63.9,61.55,1463,-3438.050000000002,-3805.116700000002,-3.6776212832550836,7
PFC,2022-10-07,2022-10-14,83.95,81.65,1114,-2562.1999999999966,-2931.1567999999966,-2.73972602739726,7
BAJAJ-AUTO,2022-10-07,2022-10-14,3514.5,3482.0,26,-845.0,-1208.818,-0.9247403613600769,7
IBULHSGFIN,2022-10-07,2022-10-21,37.35,37.7,2503,876.0500000000036,500.34970000000357,0.9370816599732379,14
CONCOR,2022-10-07,2022-10-21,558.95,598.55,167,6613.199999999984,6226.594999999985,7.08471240719204,14
MARUTI,2022-10-14,2022-10-21,8617.3,8703.3,10,860.0,513.588,0.9979924106158444,7
TATASTEEL,2022-10-14,2022-10-21,94.3,94.4,970,97.00000000000827,-269.0779999999918,0.10604453870626251,7
EICHERMOT,2022-10-14,2022-10-21,3477.2,3629.5,26,3959.8000000000047,3590.2516000000046,4.379960888070866,7
HINDUNILVR,2022-10-14,2022-10-21,2575.8,2653.9,35,2733.499999999997,2367.4209999999966,3.032067707120123,7
TVSMOTOR,2022-10-14,2022-10-21,1078.35,1141.8,84,5329.800000000004,4956.814800000004,5.883989428293224,7
YESBANK,2022-10-14,2022-10-21,15.8,16.05,5789,1447.25,1078.4907,1.5822784810126667,7
BALKRISIND,2022-10-14,2022-10-21,1901.7,1931.8,48,1444.7999999999956,1076.7839999999956,1.582794341904603,7
APOLLOTYRE,2022-10-14,2022-10-21,271.1,281.75,337,3589.0499999999925,3216.4290999999926,3.9284396901512197,7
AMBUJACEM,2022-10-21,2022-10-31,512.6,532.95,184,3744.400000000004,3359.637600000004,3.9699570815450613,10
VEDL,2022-10-21,2022-10-31,238.15,238.75,397,238.19999999999774,-140.45860000000224,0.251942053327725,10
POWERGRID,2022-10-21,2022-10-31,159.4,167.55,593,4832.9500000000035,4445.187300000003,5.112923462986196,10
BPCL,2022-10-21,2022-10-31,131.65,134.1,718,1759.0999999999917,1377.4829999999918,1.8609950626661487,10
TORNTPOWER,2022-10-21,2022-10-31,484.4,504.35,195,3890.250000000009,3504.637500000009,4.118497109826591,10
BANDHANBNK,2022-10-21,2022-10-31,271.0,238.55,349,-11325.049999999996,-11680.715899999996,-11.974169741697416,10
BEL,2022-10-21,2022-10-31,103.55,106.85,913,3012.8999999999974,2628.7095999999974,3.1868662481892684,10
INFY,2022-10-21,2022-11-07,1500.5,1507.45,63,437.85000000000286,58.84830000000284,0.46317894035321494,17
MRF,2022-10-31,2022-11-07,90767.0,94900.1,1,4133.100000000006,3761.7658000000056,4.553527162955717,7
ASIANPAINT,2022-10-31,2022-11-07,3107.7,3103.55,30,-124.49999999998909,-497.1749999999891,-0.1335392734176266,7
TVSMOTOR,2022-10-31,2022-11-07,1146.05,1112.75,82,-2730.5999999999963,-3101.0431999999964,-2.905632389511803,7
DRREDDY,2022-10-31,2022-11-07,886.75,897.1,107,1107.4500000000025,725.7061000000025,1.1671835353820104,7
NESTLEIND,2022-10-31,2022-11-07,1018.2,1024.0,93,539.3999999999958,159.55079999999577,0.5696326851306166,7
CADILAHC,2022-10-31,2022-11-07,433.35,451.05,219,3876.2999999999975,3488.9327999999973,4.084458290065762,7
NMDC,2022-10-21,2022-11-15,29.167457580566406,31.731426239013672,3243,8314.950359344482,7919.960198890686,8.79051131338775,25
WIPRO,2022-10-31,2022-11-15,189.55,194.75,501,2605.1999999999944,2220.1313999999943,2.7433394882616646,15
YESBANK,2022-10-31,2022-11-15,15.55,17.05,6115,9172.5,8773.802,9.646302250803851,15
ADANIPORTS,2022-11-07,2022-11-15,853.0,906.9,114,6144.599999999998,5743.342799999998,6.318874560375143,8
NTPC,2022-11-07,2022-11-15,175.85,172.1,553,-2073.75,-2458.5827,-2.1324992891669003,8
AMBUJACEM,2022-11-07,2022-11-15,568.1,586.45,171,3137.850000000004,2742.993900000004,3.2300651293786453,8
BALKRISIND,2022-11-07,2022-11-15,1965.15,1963.2,49,-95.55000000000223,-480.5283000000023,-0.09922906648347496,8
PEL,2022-11-07,2022-11-22,310.95,312.2,313,391.25,1.1581000000000472,0.4019938896928865,15
BAJFINANCE,2022-11-07,2022-11-22,719.0,668.5,135,-6817.5,-7192.125,-7.023643949930458,15
M&MFIN,2022-11-15,2022-11-22,196.25,187.85,497,-4174.800000000003,-4556.595400000003,-4.28025477707007,7
ICICIBANK,2022-11-15,2022-11-22,911.7,923.7,107,1284.0,891.2244,1.3162224415926183,7
FEDERALBNK,2022-11-15,2022-11-22,136.1,131.45,717,-3334.0500000000043,-3717.716700000004,-3.416605437178555,7
KOTAKBANK,2022-11-15,2022-11-22,1912.4,1939.75,51,1394.8499999999954,1001.9306999999953,1.4301401380464318,7
COALINDIA,2022-11-15,2022-11-29,216.1,211.5,451,-2074.5999999999976,-2460.2951999999977,-2.1286441462285977,14
SUNTV,2022-11-15,2022-11-29,497.1,489.4,196,-1509.200000000009,-1895.908000000009,-1.5489841078254019,14
MUTHOOTFIN,2022-11-15,2022-11-29,1120.05,1087.05,87,-2871.0,-3255.0353999999998,-2.946297040310697,14
JUSTDIAL,2022-11-15,2022-11-29,608.55,588.55,160,-3200.0,-3583.072,-3.2865006983814005,14
DIVISLAB,2022-11-22,2022-11-29,3305.6,3372.7,28,1878.7999999999975,1504.8151999999975,2.029888673765723,7
HDFCBANK,2022-11-22,2022-11-29,797.5,798.9,119,166.5999999999973,-213.34320000000264,0.1755485893417008,7
GODREJCP,2022-11-22,2022-11-29,842.05,865.65,113,2666.8000000000025,2280.8598000000025,2.802683926132654,7
VEDL,2022-11-22,2022-11-29,265.8,258.2,358,-2720.8000000000084,-3095.9840000000086,-2.8592927012791702,7
CONCOR,2022-11-22,2022-11-29,588.0,607.7,162,3191.4000000000074,2803.993200000007,3.3503401360544194,7
GRASIM,2022-11-22,2022-11-30,1692.95,1752.8,56,3351.599999999995,2965.675999999995,3.53524912135621,8
NCC,2022-11-29,2022-11-30,82.85,82.75,1156,-115.59999999999343,-498.4671999999934,-0.12070006035002079,1
SRF,2022-11-29,2022-11-30,2320.95,2365.7,41,1834.75,1450.4447,1.9280897908184214,1
ADANIPORTS,2022-11-29,2022-11-30,878.2,881.0,109,305.19999999999504,-78.30560000000492,0.3188339785925809,1
DRREDDY,2022-11-29,2022-11-30,890.65,897.45,107,727.6000000000073,344.94660000000727,0.763487340706237,1
PVR,2022-11-29,2022-11-30,1857.8,1849.4,51,-428.39999999999304,-806.5343999999931,-0.45214770158250595,1
INDIGO,2022-11-29,2022-11-30,1911.35,1937.45,50,1305.0000000000068,920.1200000000068,1.3655269835456618,1
ONGC,2022-11-29,2022-11-30,129.7,130.5,738,590.4000000000084,206.34480000000843,0.6168080185042557,1
NESTLEIND,2022-11-29,2022-11-30,1006.0,1009.2,95,304.0000000000043,-78.88799999999571,0.31809145129224614,1
BPCL,2022-11-29,2022-11-30,150.9,152.0,634,697.3999999999965,313.32279999999645,0.7289595758780631,1
