date,value,return
2022-09-01,998006.7608,0.0
2022-09-02,992047.0108,-0.005971652932714281
2022-09-05,997669.8107999999,0.005667876561076992
2022-09-06,993251.5608,-0.004428569404597928
2022-09-07,1004449.4608,0.01127398178058823
2022-09-08,1001710.17698,-0.002727149475313862
2022-09-09,1007226.7569800002,0.00550716177870112
2022-09-12,1013114.0669800001,0.005845069106039286
2022-09-13,1010575.3469800001,-0.0025058580102116862
2022-09-14,1001205.4769799999,-0.009271817314761453
2022-09-15,1012244.3531000002,0.011025585031054295
2022-09-16,980482.3531000002,-0.03137779914773426
2022-09-19,974849.8031000003,-0.005744672489200285
2022-09-20,986516.7531000002,0.011967946203506753
2022-09-21,976240.0031000001,-0.010417207784568047
2022-09-22,964733.7913200003,-0.011786253117535027
2022-09-23,941530.5413200003,-0.024051453581046513
2022-09-26,915808.4613200002,-0.02731943242535544
2022-09-27,916705.5913200001,0.000979604401892957
2022-09-28,906565.8113200002,-0.01106110849111245
2022-09-29,906709.5201200002,0.00015851998631050926
2022-09-30,920085.9701200003,0.014752740214120326
2022-10-03,916774.7701200002,-0.0035987941426475763
2022-10-04,937695.9201200003,0.022820381495949733
2022-10-06,950503.2701200004,0.013658318997869897
2022-10-07,944086.3518433842,-0.00675107438168625
2022-10-10,935157.3269326482,-0.009457847678129832
2022-10-11,921925.3288049017,-0.014149488804357629
2022-10-12,929521.0811288151,0.008239010347790114
2022-10-13,922811.9178986822,-0.007217870972851151
2022-10-14,922999.8703457417,0.00020367362342648033
2022-10-17,926413.5803457417,0.003698494560699384
2022-10-18,939973.1103457417,0.014636583797637714
2022-10-19,965600.7203457416,0.027264194813587272
2022-10-20,957078.9003457418,-0.00882540766637842
2022-10-21,954487.8897843526,-0.0027072068566689283
2022-10-24,959483.8502076312,0.00523417895266053
2022-10-25,963196.6217148944,0.0038695508074051937
2022-10-27,979406.2428467914,0.01682898461898365
2022-10-28,967812.8836823627,-0.01183713014808934
2022-10-31,959764.0749137561,-0.008316492686047209
2022-11-01,971905.7156543414,0.012650651402717195
2022-11-02,973012.2263629594,0.0011384959372041689
2022-11-03,978454.3201995533,0.005593037465660644
2022-11-04,980193.540576903,0.0017775182156639165
2022-11-07,983677.160168575,0.003554011985859092
2022-11-09,985900.0454529988,0.002259771167242398
2022-11-10,976253.3072007404,-0.00978470210722623
2022-11-11,982782.8392594564,0.006688358452211945
2022-11-14,985415.9480805623,0.0026792376870255516
2022-11-15,985739.8066546256,0.00032865164674278986
2022-11-16,975097.0566546256,-0.010796713217982997
2022-11-17,975411.9066546255,0.0003228909346523594
2022-11-18,966048.1066546255,-0.009599841806437562
2022-11-21,963065.3566546255,-0.00308757915827723
2022-11-22,962736.6112546256,-0.00034135315711267207
2022-11-23,965981.2612546255,0.003370236430264683
2022-11-24,970881.3612546255,0.005072665688810238
2022-11-25,976672.2612546256,0.005964580463793048
2022-11-28,974130.1612546257,-0.0026028178549213784
2022-11-29,967065.4107546252,-0.007252368093090788
2022-11-30,974571.7607546255,0.007761987882642741
