Date,Open,High,Low,Close,Adj_Close,Volume
2024-01-01,6308.7998046875,6318.75,6240.0,6261.89990234375,6106.31787109375,166927
2024-01-02,6230.0,6284.0,6123.4501953125,6144.0,5991.34716796875,475149
2024-01-03,6110.0,6113.25,5955.0,5961.0498046875,5812.94287109375,421251
2024-01-04,5963.0,6020.0,5851.7001953125,5866.39990234375,5720.64501953125,618173
2024-01-05,5945.0,6010.0,5902.0,5947.64990234375,5799.8759765625,429330
2024-01-08,5988.0,5988.0,5835.0498046875,5845.60009765625,5700.3623046875,193870
2024-01-09,5915.0,5957.89990234375,5875.0,5909.39990234375,5762.576171875,351316
2024-01-10,5915.0,5957.5,5885.0,5947.5,5799.7294921875,259576
2024-01-11,5978.35009765625,5998.89990234375,5913.0498046875,5959.9501953125,5811.87109375,232299
2024-01-12,6025.60009765625,6245.0,6015.0,6237.0498046875,6082.08544921875,899942
2024-01-15,6237.0498046875,6237.0498046875,6237.0498046875,6237.0498046875,6082.08544921875,0
2024-01-16,6290.0,6299.9501953125,6193.89990234375,6235.89990234375,6080.96435546875,255823
2024-01-17,6195.0,6324.0,6150.0,6275.60009765625,6119.677734375,472635
2024-01-18,5700.0,5790.0,5411.75,5603.0,5463.7890625,2798324
2024-01-19,5689.0,5697.2001953125,5582.0,5652.14990234375,5511.71826171875,974885
2024-01-23,5630.0,5724.0,5580.0,5638.5,5498.40771484375,754748
2024-01-24,5650.35009765625,5718.89990234375,5598.0498046875,5619.5498046875,5479.927734375,729576
2024-01-25,5650.0,5650.0,5457.2998046875,5494.64990234375,5358.130859375,911916
2024-01-29,5497.0,5514.10009765625,5400.0,5448.35009765625,5312.98193359375,772171
2024-01-30,5495.0,5524.7001953125,5345.0498046875,5352.7998046875,5219.80517578125,830778
2024-01-31,5351.0,5466.4501953125,5310.2998046875,5448.5498046875,5313.1767578125,536486
2024-02-01,5430.0,5434.0,5342.0,5364.64990234375,5231.36083984375,495519
2024-02-02,5375.0498046875,5541.0,5375.0498046875,5485.85009765625,5349.55078125,593677
2024-02-05,5540.0,5540.0,5425.64990234375,5438.4501953125,5303.328125,301000
2024-02-06,5430.5,5506.85009765625,5391.35009765625,5470.2998046875,5334.3857421875,836565
2024-02-07,5500.0,5518.9501953125,5439.0,5447.89990234375,5312.54296875,354265
2024-02-08,5455.9501953125,5490.0,5401.10009765625,5420.7998046875,5286.1162109375,380430
2024-02-09,5470.0,5470.0,5362.0,5453.2998046875,5317.80859375,196922
2024-02-12,5469.9501953125,5548.0,5464.5498046875,5516.5,5379.4384765625,421078
2024-02-13,5515.9501953125,5575.0,5469.2001953125,5557.14990234375,5419.07861328125,256808
2024-02-14,5479.9501953125,5517.0,5404.64990234375,5505.14990234375,5368.3701171875,332342
2024-02-15,5575.5498046875,5590.0,5511.0498046875,5522.2998046875,5385.09423828125,226420
