factor,IC,selected
KUP2,0.019049002003382488,True
WVMA20,-0.013927940118639367,True
WVMA30,-0.013841530058473765,True
CORD5,-0.01259931557185871,True
IMAX10,0.011337084304038346,True
CORR5,-0.011064253146274572,True
RSQR10,-0.010550411759589986,True
IMAX60,0.009576057398682485,False
KUP,0.009384466334930189,False
IMXD10,0.00917083020923339,False
KLEN,-0.008536870102449934,False
IMAX5,0.008441877649644842,False
RESI10,0.00786107584317328,False
MA5,-0.007742358095422391,False
WVMA10,-0.007567353177646456,False
RSQR20,-0.007463521936749761,False
RSQR30,-0.007313008952626599,False
VSTD20,-0.006967851762821813,False
CNTP5,-0.006710567022346907,False
RANK10,-0.006650522275553061,False
RESI60,0.006625710529477571,False
IMXD5,0.006544206699004576,False
MIN60,-0.0063600360426556675,False
STD60,0.006216033388115294,False
VSTD5,-0.006214492729999363,False
MAX5,-0.005844000452071816,False
VSTD10,-0.005825270176460868,False
VSTD30,-0.005754541760980968,False
CNTD5,-0.005546149283207299,False
IMXD60,0.005414982140580617,False
RSV10,-0.005344150290275065,False
QTLU5,-0.005332246400585952,False
ROC5,-0.005199436989047912,False
MAX30,-0.00505664370245503,False
BETA5,0.005048070283231671,False
QTLU20,-0.005016504643503464,False
VMA5,-0.004927811205096767,False
QTLD5,-0.004921974195170958,False
RANK5,-0.004886639537944787,False
KSFT2,-0.004748899692073201,False
CORR30,-0.004722887598345785,False
MAX20,-0.004704011613352053,False
IMAX30,0.004685080744012605,False
CORR10,-0.004542212479869237,False
RESI20,0.0044191431328810165,False
QTLU10,-0.0044022707022705635,False
CNTN5,0.004308743893045954,False
VMA10,-0.0042703205625966205,False
BETA10,-0.004158425885808997,False
IMIN10,-0.004107260224401098,False
CORR20,-0.004062366558034444,False
CORR60,-0.004052030769531035,False
CNTP10,-0.004032460192356264,False
WVMA5,-0.0040076962960673085,False
CNTP30,-0.003846507346740562,False
VSUMN5,-0.003771418196116495,False
VSUMP5,0.0037714181961164945,False
VSUMD5,0.0037714181961164936,False
RESI30,0.003713347605198458,False
SUMP10,-0.0037116950573859264,False
SUMD10,-0.0037116950573834848,False
SUMN10,0.003711695057381036,False
RSV5,-0.003615418799632916,False
CORD30,-0.0035332081641970344,False
QTLU30,-0.0034577161161583386,False
VSUMN60,0.0033653012823499327,False
VSUMD60,-0.0033653012823499254,False
VSUMP60,-0.0033653012823499245,False
VSUMD30,-0.00336515462991262,False
VSUMN30,0.003365154629912618,False
VSUMP30,-0.0033651546299126142,False
BETA60,-0.0033514757246264626,False
CNTN20,-0.0031753978535212423,False
WVMA60,-0.0030229831528668163,False
MA20,-0.0030154713133196875,False
VMA20,-0.0030020962228736506,False
MA10,-0.002860213659900347,False
CNTD10,-0.0028435439351321263,False
VMA30,-0.0026908690498211475,False
RESI5,0.002605277539328028,False
STD5,0.002559074278601399,False
IMXD30,0.0025213924427912415,False
MIN10,0.002491403861414956,False
QTLU60,0.0024539470545568536,False
RSQR5,0.0024499798149807865,False
MIN5,-0.0023567124534299867,False
IMIN5,-0.002346608107707573,False
MAX10,-0.0022972113405616145,False
IMIN20,0.00227171714349082,False
LOW0,0.0022595258917464407,False
SUMP30,-0.002211562324081715,False
SUMD30,-0.0022115623240803206,False
SUMN30,0.0022115623240789224,False
SUMP5,-0.0021687970161065064,False
SUMD5,-0.002168797016104474,False
SUMN5,0.002168797016102454,False
MA30,-0.002166410061498649,False
CNTD30,-0.002106990706407941,False
KMID2,-0.002061099432696934,False
QTLD10,0.0020229011244298307,False
IMIN60,0.001932150665453434,False
ROC10,0.0017121554723313248,False
QTLD60,-0.0017110383657437996,False
KLOW,0.001699955697016625,False
RSQR60,0.001679084697454826,False
CNTD20,0.0016784078582637572,False
ROC60,-0.0016756260116088987,False
QTLD20,-0.0016698598180120328,False
CNTN10,0.0016244613921674,False
HIGH0,-0.001620052578683318,False
CNTN60,-0.001587538497579463,False
ROC20,-0.0015087708390783318,False
STD10,0.0014305749549751276,False
CORD10,-0.0013508789071464853,False
CORD20,-0.0013062096038610324,False
CORD60,0.0012590450965267387,False
QTLD30,-0.001209128189155931,False
SUMP20,-0.0011482088405466906,False
SUMD20,-0.0011482088405450335,False
SUMN20,0.0011482088405433777,False
IMXD20,-0.001137469400037229,False
