factor,IC,selected,abs_IC
KUP2,0.0190490020033824,True,0.0190490020033824
WVMA20,-0.0139279401186393,True,0.0139279401186393
WVMA30,-0.0138415300584737,True,0.0138415300584737
CORD5,-0.0125993155718587,True,0.0125993155718587
IMAX10,0.0113370843040383,True,0.0113370843040383
CORR5,-0.0110642531462745,True,0.0110642531462745
RSQR10,-0.0105504117595899,True,0.0105504117595899
IMAX60,0.0095760573986824,True,0.0095760573986824
KUP,0.0093844663349301,True,0.0093844663349301
IMXD10,0.0091708302092333,False,0.0091708302092333
KLEN,-0.0085368701024499,True,0.0085368701024499
IMAX5,0.0084418776496448,True,0.0084418776496448
RESI10,0.0078610758431732,True,0.0078610758431732
MA5,-0.0077423580954223,True,0.0077423580954223
WVMA10,-0.0075673531776464,True,0.0075673531776464
RSQR20,-0.0074635219367497,True,0.0074635219367497
RSQR30,-0.0073130089526265,True,0.0073130089526265
VSTD20,-0.0069678517628218,True,0.0069678517628218
CNTP5,-0.0067105670223469,True,0.0067105670223469
RANK10,-0.006650522275553,True,0.006650522275553
RESI60,0.0066257105294775,True,0.0066257105294775
IMXD5,0.0065442066990045,False,0.0065442066990045
MIN60,-0.0063600360426556,True,0.0063600360426556
STD60,0.0062160333881152,True,0.0062160333881152
VSTD5,-0.0062144927299993,True,0.0062144927299993
MAX5,-0.0058440004520718,True,0.0058440004520718
VSTD10,-0.0058252701764608,True,0.0058252701764608
VSTD30,-0.0057545417609809,False,0.0057545417609809
CNTD5,-0.0055461492832072,False,0.0055461492832072
IMXD60,0.0054149821405806,False,0.0054149821405806
RSV10,-0.005344150290275,True,0.005344150290275
QTLU5,-0.0053322464005859,False,0.0053322464005859
ROC5,-0.0051994369890479,False,0.0051994369890479
MAX30,-0.005056643702455,False,0.005056643702455
BETA5,0.0050480702832316,False,0.0050480702832316
QTLU20,-0.0050165046435034,False,0.0050165046435034
VMA5,-0.0049278112050967,False,0.0049278112050967
QTLD5,-0.0049219741951709,False,0.0049219741951709
RANK5,-0.0048866395379447,False,0.0048866395379447
KSFT2,-0.0047488996920732,False,0.0047488996920732
CORR30,-0.0047228875983457,False,0.0047228875983457
MAX20,-0.004704011613352,False,0.004704011613352
IMAX30,0.0046850807440126,False,0.0046850807440126
CORR10,-0.0045422124798692,False,0.0045422124798692
RESI20,0.004419143132881,False,0.004419143132881
QTLU10,-0.0044022707022705,False,0.0044022707022705
CNTN5,0.0043087438930459,False,0.0043087438930459
VMA10,-0.0042703205625966,False,0.0042703205625966
BETA10,-0.0041584258858089,False,0.0041584258858089
IMIN10,-0.004107260224401,False,0.004107260224401
CORR20,-0.0040623665580344,False,0.0040623665580344
CORR60,-0.004052030769531,False,0.004052030769531
CNTP10,-0.0040324601923562,False,0.0040324601923562
WVMA5,-0.0040076962960673,False,0.0040076962960673
CNTP30,-0.0038465073467405,False,0.0038465073467405
VSUMN5,-0.0037714181961164,False,0.0037714181961164
VSUMP5,0.0037714181961164,False,0.0037714181961164
VSUMD5,0.0037714181961164,False,0.0037714181961164
RESI30,0.0037133476051984,False,0.0037133476051984
SUMP10,-0.0037116950573859,False,0.0037116950573859
SUMD10,-0.0037116950573834,False,0.0037116950573834
SUMN10,0.003711695057381,False,0.003711695057381
RSV5,-0.0036154187996329,False,0.0036154187996329
CORD30,-0.003533208164197,False,0.003533208164197
QTLU30,-0.0034577161161583,False,0.0034577161161583
VSUMN60,0.0033653012823499,False,0.0033653012823499
VSUMD60,-0.0033653012823499,False,0.0033653012823499
VSUMP60,-0.0033653012823499,False,0.0033653012823499
VSUMD30,-0.0033651546299126,False,0.0033651546299126
VSUMN30,0.0033651546299126,False,0.0033651546299126
VSUMP30,-0.0033651546299126,False,0.0033651546299126
BETA60,-0.0033514757246264,False,0.0033514757246264
CNTN20,-0.0031753978535212,False,0.0031753978535212
WVMA60,-0.0030229831528668,False,0.0030229831528668
MA20,-0.0030154713133196,False,0.0030154713133196
VMA20,-0.0030020962228736,False,0.0030020962228736
MA10,-0.0028602136599003,False,0.0028602136599003
CNTD10,-0.0028435439351321,False,0.0028435439351321
VMA30,-0.0026908690498211,False,0.0026908690498211
RESI5,0.002605277539328,False,0.002605277539328
STD5,0.0025590742786013,False,0.0025590742786013
IMXD30,0.0025213924427912,False,0.0025213924427912
MIN10,0.0024914038614149,False,0.0024914038614149
QTLU60,0.0024539470545568,False,0.0024539470545568
RSQR5,0.0024499798149807,False,0.0024499798149807
MIN5,-0.0023567124534299,False,0.0023567124534299
IMIN5,-0.0023466081077075,False,0.0023466081077075
MAX10,-0.0022972113405616,False,0.0022972113405616
IMIN20,0.0022717171434908,False,0.0022717171434908
LOW0,0.0022595258917464,False,0.0022595258917464
SUMP30,-0.0022115623240817,False,0.0022115623240817
