symbol,company_name,sector,major_sector,SECTOR_CONSUMER,SECTOR_ENERGY,SECTOR_FINANCIAL,SECTOR_MATERIALS,SECTOR_METALS,SECTOR_OTHER,SECTOR_PHARMA,SECTOR_SERVICES
BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment,OTHER,False,False,False,False,False,True,False,False
BIOCON,Biocon Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
BLUESTARCO,Blue Star Limited,Household Appliances,OTHER,False,False,False,False,False,True,False,False
BOSCHLTD,Bosch Limited,Auto Components & Equipments,OTHER,False,False,False,False,False,True,False,False
BPCL,Bharat Petroleum Corporation Limited,Refineries & Marketing,OTHER,False,False,False,False,False,True,False,False
BRITANNIA,Britannia Industries Limited,Packaged Foods,OTHER,False,False,False,False,False,True,False,False
BSE,BSE Limited,Exchange and Data Platform,OTHER,False,False,False,False,False,True,False,False
CANBK,Canara Bank,Public Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
CGPOWER,CG Power and Industrial Solutions Limited,Heavy Electrical Equipment,OTHER,False,False,False,False,False,True,False,False
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Non Banking Financial Company (NBFC),FINANCIAL,False,False,True,False,False,False,False,False
CIPLA,Cipla Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
COALINDIA,Coal India Limited,Coal,OTHER,False,False,False,False,False,True,False,False
COCHINSHIP,Cochin Shipyard Limited,Ship Building & Allied Services,SERVICES,False,False,False,False,False,False,False,True
COFORGE,Coforge Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
COLPAL,Colgate Palmolive (India) Limited,Personal Care,OTHER,False,False,False,False,False,True,False,False
CONCOR,Container Corporation of India Limited,Logistics Solution Provider,OTHER,False,False,False,False,False,True,False,False
COROMANDEL,Coromandel International Limited,Fertilizers,OTHER,False,False,False,False,False,True,False,False
CUMMINSIND,Cummins India Limited,Compressors Pumps & Diesel Engines,OTHER,False,False,False,False,False,True,False,False
DABUR,Dabur India Limited,Personal Care,OTHER,False,False,False,False,False,True,False,False
DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
DIXON,Dixon Technologies (India) Limited,Consumer Electronics,OTHER,False,False,False,False,False,True,False,False
DLF,DLF Limited,Residential Commercial Projects,OTHER,False,False,False,False,False,True,False,False
DMART,Avenue Supermarts Limited,Diversified Retail,OTHER,False,False,False,False,False,True,False,False
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
EICHERMOT,Eicher Motors Limited,2/3 Wheelers,OTHER,False,False,False,False,False,True,False,False
ETERNAL,ETERNAL LIMITED,E-Retail/ E-Commerce,OTHER,False,False,False,False,False,True,False,False
EXIDEIND,Exide Industries Limited,Auto Components & Equipments,OTHER,False,False,False,False,False,True,False,False
FEDERALBNK,The Federal Bank  Limited,Private Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
FORTIS,Fortis Healthcare Limited,Hospital,OTHER,False,False,False,False,False,True,False,False
GAIL,GAIL (India) Limited,Gas Transmission/Marketing,OTHER,False,False,False,False,False,True,False,False
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
GMRAIRPORT,GMR AIRPORTS LIMITED,Airport & Airport services,SERVICES,False,False,False,False,False,False,False,True
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes & Tobacco Products,OTHER,False,False,False,False,False,True,False,False
GODREJCP,Godrej Consumer Products Limited,Personal Care,OTHER,False,False,False,False,False,True,False,False
GODREJPROP,Godrej Properties Limited,Residential Commercial Projects,OTHER,False,False,False,False,False,True,False,False
GRASIM,Grasim Industries Limited,Cement & Cement Products,MATERIALS,False,False,False,True,False,False,False,False
HAL,Hindustan Aeronautics Limited,Aerospace & Defense,OTHER,False,False,False,False,False,True,False,False
HAVELLS,Havells India Limited,Consumer Electronics,OTHER,False,False,False,False,False,True,False,False
HCLTECH,HCL Technologies Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
