symbol,company_name,sector,major_sector
LTIM,LTIMindtree Limited,Computers - Software & Consulting,OTHER
LUPIN,Lupin Limited,Pharmaceuticals,PHARMA
M&M,,,OTHER
M&MFIN,,,OTHER
MANKIND,Mankind Pharma Limited,Pharmaceuticals,PHARMA
MARICO,Marico Limited,Edible Oil,OTHER
MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles,OTHER
MAXHEALTH,Max Healthcare Institute Limited,Hospital,OTHER
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services,SERVICES
MFSL,Max Financial Services Limited,Life Insurance,OTHER
MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,OTHER
MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied,OTHER
MPHASIS,MphasiS Limited,Computers - Software & Consulting,OTHER
MRF,MRF Limited,Tyres & Rubber Products,OTHER
MUTHOOTFIN,Muthoot Finance Limited,Non Banking Financial Company (NBFC),FINANCIAL
NATIONALUM,National Aluminium Company Limited,Aluminium,OTHER
NAUKRI,Info Edge (India) Limited,Internet & Catalogue Retail,OTHER
NESTLEIND,Nestle India Limited,Packaged Foods,OTHER
NHPC,NHPC Limited,Power Generation,ENERGY
NMDC,NMDC Limited,Industrial Minerals,OTHER
NTPC,NTPC Limited,Power Generation,ENERGY
NYKAA,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce,OTHER
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects,OTHER
OFSS,Oracle Financial Services Software Limited,Software Products,OTHER
OIL,Oil India Limited,Oil Exploration & Production,OTHER
ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production,OTHER
PAGEIND,Page Industries Limited,Garments & Apparels,OTHER
PATANJALI,Patanjali Foods Limited,Edible Oil,OTHER
PAYTM,One 97 Communications Limited,Financial Technology (Fintech),OTHER
PERSISTENT,Persistent Systems Limited,Computers - Software & Consulting,OTHER
PFC,Power Finance Corporation Limited,Financial Institution,OTHER
PHOENIXLTD,The Phoenix Mills Limited,Residential Commercial Projects,OTHER
PIDILITIND,Pidilite Industries Limited,Specialty Chemicals,MATERIALS
PIIND,PI Industries Limited,Pesticides & Agrochemicals,MATERIALS
PNB,Punjab National Bank,Public Sector Bank,FINANCIAL
POLICYBZR,PB Fintech Limited,Financial Technology (Fintech),OTHER
POLYCAB,Polycab India Limited,Cables - Electricals,OTHER
POWERGRID,Power Grid Corporation of India Limited,Power - Transmission,ENERGY
POWERINDIA,Hitachi Energy India Limited,Heavy Electrical Equipment,OTHER
PRESTIGE,Prestige Estates Projects Limited,Residential Commercial Projects,OTHER
RECLTD,REC Limited,Financial Institution,OTHER
RELIANCE,Reliance Industries Limited,Refineries & Marketing,OTHER
RVNL,Rail Vikas Nigam Limited,Civil Construction,OTHER
SAIL,Steel Authority of India Limited,Iron & Steel,OTHER
SBICARD,SBI Cards and Payment Services Limited,Non Banking Financial Company (NBFC),FINANCIAL
SBILIFE,SBI Life Insurance Company Limited,Life Insurance,OTHER
SBIN,State Bank of India,Public Sector Bank,FINANCIAL
SHREECEM,SHREE CEMENT LIMITED,Cement & Cement Products,MATERIALS
SHRIRAMFIN,Shriram Finance Limited,Non Banking Financial Company (NBFC),FINANCIAL
SIEMENS,Siemens Limited,Heavy Electrical Equipment,OTHER
SOLARINDS,Solar Industries India Limited,Explosives,OTHER
SONACOMS,Sona BLW Precision Forgings Limited,Auto Components & Equipments,OTHER
SRF,SRF Limited,Specialty Chemicals,MATERIALS
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals,PHARMA
SUPREMEIND,Supreme Industries Limited,Plastic Products - Industrial,OTHER
SUZLON,Suzlon Energy Limited,Heavy Electrical Equipment,OTHER
TATACOMM,Tata Communications Limited,Telecom - Cellular & Fixed line services,SERVICES
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Tea & Coffee,OTHER
TATAELXSI,Tata Elxsi Limited,Computers - Software & Consulting,OTHER
TATAPOWER,Tata Power Company Limited,Integrated Power Utilities,ENERGY
TATASTEEL,Tata Steel Limited,Iron & Steel,OTHER
TATATECH,Tata Technologies Limited,IT Enabled Services,SERVICES
TCS,Tata Consultancy Services Limited,Computers - Software & Consulting,OTHER
TECHM,Tech Mahindra Limited,Computers - Software & Consulting,OTHER
TIINDIA,Tube Investments of India Limited,Auto Components & Equipments,OTHER
TITAN,Titan Company Limited,Gems Jewellery And Watches,OTHER
TMPV,Tata Motors Passenger Vehicles Limited,Passenger Cars & Utility Vehicles,OTHER
TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,PHARMA
TORNTPOWER,Torrent Power Limited,Integrated Power Utilities,ENERGY
TRENT,Trent Limited,Speciality Retail,OTHER
TVSMOTOR,TVS Motor Company Limited,2/3 Wheelers,OTHER
ULTRACEMCO,UltraTech Cement Limited,Cement & Cement Products,MATERIALS
UNIONBANK,Union Bank of India,Public Sector Bank,FINANCIAL
UNITDSPR,United Spirits Limited,Breweries & Distilleries,OTHER
UPL,UPL Limited,Pesticides & Agrochemicals,MATERIALS
VBL,Varun Beverages Limited,Other Beverages,OTHER
VEDL,Vedanta Limited,Diversified Metals,METALS
VOLTAS,Voltas Limited,Household Appliances,OTHER
WIPRO,Wipro Limited,Computers - Software & Consulting,OTHER
YESBANK,Yes Bank Limited,Private Sector Bank,FINANCIAL
ZYDUSLIFE,Zydus Lifesciences Limited,Pharmaceuticals,PHARMA
