Date,Open,High,Low,Close,Adj_Close,Volume
2020-04-01,57900.0,57900.0,54675.44921875,55108.8515625,54555.41015625,20661
2020-04-03,55600.0,56200.0,54500.0,55062.25,54509.27734375,33126
2020-04-07,56500.0,58088.0,56055.05078125,57701.05078125,57121.5859375,18689
2020-04-08,56600.0,59500.0,56300.0,57172.75,56598.5859375,15231
2020-04-09,58599.0,60460.05078125,57700.19921875,60017.8984375,59415.15625,17979
2020-04-13,59500.0,59831.3984375,57101.0,57399.19921875,56822.75390625,13752
2020-04-15,58500.0,58500.0,56760.0,57417.75,56841.1171875,17187
2020-04-16,57390.0,62000.0,57012.1015625,60441.8984375,59834.90234375,22062
2020-04-17,61541.8984375,62340.0,61000.0,61638.30078125,61019.29296875,15847
2020-04-20,62000.0,62000.0,61150.0,61384.0,60767.54296875,9847
2020-04-21,60500.0,60793.6015625,58500.69921875,58864.75,58273.59375,12668
2020-04-22,58875.0,59489.8984375,57829.0,58221.94921875,57637.24609375,14951
2020-04-23,58547.0,59341.8515625,58500.0,58712.3515625,58122.71875,8688
2020-04-24,58225.0,59200.0,58000.0,58805.3984375,58214.8359375,8119
2020-04-27,59700.0,60290.0,58805.3984375,59206.55078125,58611.95703125,7821
2020-04-28,59800.0,59800.0,58550.0,59075.69921875,58482.42578125,6233
2020-04-29,59100.0,59750.0,58900.0,59203.69921875,58609.140625,8035
2020-04-30,59800.0,61800.0,59499.94921875,60510.6484375,59902.953125,18800
2020-05-04,59499.94921875,59499.94921875,57700.0,57987.30078125,57404.94921875,9677
2020-05-05,58647.0,59350.0,57500.0,57750.0,57170.0390625,9615
2020-05-06,58350.0,58790.0,57200.1015625,58362.69921875,57776.57421875,8360
2020-05-07,58000.0,59000.0,58000.0,58831.05078125,58240.23046875,7492
2020-05-08,58902.0,59783.05078125,58450.0,58874.8984375,58283.63671875,9752
2020-05-11,59025.0,59450.0,58286.0,58791.19921875,58200.76953125,12163
2020-05-12,58500.0,58629.8984375,57318.8515625,57632.1015625,57053.31640625,8170
2020-05-13,58850.0,60200.0,58221.5,59645.1484375,59046.1484375,16232
2020-05-14,58676.0,59125.0,57925.3984375,58132.6015625,57548.796875,6586
2020-05-15,58751.0,58751.0,57775.0,58135.55078125,57551.7109375,8049
2020-05-18,58235.0,58499.94921875,56150.0,56356.05078125,55790.08203125,9020
2020-05-19,56850.0,57400.0,56600.0,56828.19921875,56257.49609375,6472
2020-05-20,57200.0,57400.0,56745.05078125,57298.8984375,56723.45703125,7045
2020-05-21,57399.0,58260.0,57300.0,57451.5,56874.5390625,4818
2020-05-22,57309.44921875,57890.0,57000.0,57434.1015625,56857.30859375,4096
2020-05-26,57834.80078125,58199.94921875,57195.1484375,57726.1015625,57146.375,6257
2020-05-27,57825.0,58200.0,57500.0,58078.80078125,57495.53515625,5430
2020-05-28,57952.0,58950.0,57951.94921875,58466.19921875,57879.04296875,6482
2020-05-29,58350.5,59350.5,58350.5,59113.1015625,58519.44921875,7484
2020-06-01,59500.0,62269.94921875,59365.6015625,61446.05078125,60828.97265625,11453
2020-06-02,61999.0,63738.44921875,61657.69921875,62692.3984375,62062.80078125,11885
2020-06-03,63499.94921875,64172.30078125,61129.25,61744.25,61124.17578125,14523
2020-06-04,61844.25,62487.8984375,60710.0,61648.75,61029.6328125,11209
2020-06-05,61705.0,63844.0,61521.1015625,63526.19921875,62888.22265625,13614
2020-06-08,63700.0,65150.0,63561.1015625,64244.3984375,63599.21484375,15854
2020-06-09,64970.0,64970.0,63550.0,63994.1484375,63351.48046875,12490
2020-06-10,63990.0,64394.1484375,63250.8984375,63796.3515625,63155.67578125,7412
2020-06-11,63699.94921875,64099.94921875,62700.1484375,62884.94921875,62253.41015625,7919
2020-06-12,61000.0,64100.0,59500.0,63729.05078125,63089.03515625,11399
2020-06-15,64950.0,65499.0,62500.0,62993.6015625,62360.9765625,16231
2020-06-16,63725.0,64495.0,62077.5,62660.30078125,62031.01953125,9122
2020-06-17,62748.0,63500.0,62369.05078125,62968.25,62335.87890625,7254
2020-06-18,62888.0,63350.0,62701.05078125,62999.69921875,62367.015625,4653
2020-06-19,63101.0,63592.94921875,62700.0,62949.30078125,62317.11328125,7143
2020-06-22,63200.0,65200.0,63200.0,64762.75,64112.359375,11458
2020-06-23,65010.0,65650.546875,64155.69921875,64532.6484375,63884.55859375,8282
2020-06-24,65032.6484375,65870.0,63586.3984375,64128.1015625,63484.08984375,9738
2020-06-25,64160.0,65500.0,63870.0,64809.6484375,64158.78515625,7199
2020-06-26,65009.6484375,67000.0,65009.6484375,66457.703125,65790.28125,15913
2020-06-29,66400.0,66800.796875,64830.05078125,65196.8984375,64542.15234375,19328
2020-06-30,66480.0,67725.0,65750.0,67274.5,66598.8671875,24297
2020-07-01,66800.0,66800.0,65600.0,65836.796875,65175.6171875,13670
2020-07-02,66400.0,66800.0,65800.0,66092.8515625,65429.1015625,9523
2020-07-03,66301.0,66599.953125,65815.453125,66140.25,65476.03125,8136
2020-07-06,66601.0,67550.0,66350.0,67333.546875,66657.34375,10688
2020-07-07,67333.546875,67510.0,65600.0,66858.796875,66187.3515625,11291
2020-07-08,67000.0,67448.6484375,65000.69921875,65287.19921875,64631.5390625,16872
2020-07-09,65944.8984375,66200.0,65050.0,65335.8515625,64679.70703125,11634
2020-07-10,65799.0,65799.0,64515.0,64867.25,64215.80859375,12530
2020-07-13,65100.0,65698.8984375,64350.0,64673.44921875,64023.9609375,8442
2020-07-14,64800.0,64890.0,63610.1484375,64396.0,63749.28515625,10422
2020-07-15,64677.0,65199.94921875,63460.0,63675.3515625,63035.8828125,12777
2020-07-16,64000.0,64132.75,62431.3515625,63537.94921875,62899.859375,11199
2020-07-17,63998.94921875,65870.8515625,63382.69921875,65360.55078125,64704.16015625,13834
2020-07-20,65500.0,65849.5,64720.1015625,65042.80078125,64389.59765625,10937
2020-07-21,65800.0,65900.0,65250.25,65621.1015625,64962.09375,10307
2020-07-22,65590.0,65590.0,64255.80078125,64407.75,63760.921875,14416
2020-07-23,64793.55078125,64793.55078125,63100.0,63357.3515625,62721.07421875,13509
2020-07-24,63199.0,63800.0,62700.0,62976.5,62344.046875,15917
2020-07-27,63580.0,63580.0,61605.0,61931.6015625,61309.6484375,14479
2020-07-28,62199.80078125,63000.0,62006.0,62204.8984375,61580.203125,14267
2020-07-29,62400.0,62800.0,61550.0,61815.1015625,61194.30859375,9789
2020-07-30,62000.0,62399.8984375,60700.69921875,61043.1484375,60430.11328125,12271
2020-07-31,61200.0,61600.0,60602.0,61048.55078125,60435.46484375,11425
2020-08-03,61000.0,61800.0,60802.25,60974.6484375,60362.3046875,9152
2020-08-04,61500.0,61700.0,61004.1484375,61270.1015625,60654.7890625,15026
2020-08-05,61400.0,61900.0,61150.0,61519.05078125,60901.23828125,9425
2020-08-06,61500.0,61850.0,61100.0,61345.80078125,60729.72265625,4610
2020-08-07,61250.0,63260.0,61250.0,62702.80078125,62073.09765625,29581
2020-08-10,62798.0,63550.0,61700.0,61863.0,61241.73046875,9740
2020-08-11,62200.0,62490.0,61390.0,61460.44921875,60843.22265625,9749
2020-08-12,61640.0,61899.8515625,61350.0,61634.75,61015.7734375,11449
2020-08-13,61900.0,64352.25,61400.0,63976.5,63334.0078125,29507
2020-08-14,64000.0,64600.0,61200.0,61433.75,60816.796875,49738
2020-08-17,62199.0,62282.1484375,59940.3984375,60148.05078125,59544.00390625,32399
2020-08-18,60700.0,60879.94921875,60000.0,60205.5,59600.875,21461
2020-08-19,60580.0,60720.0,59604.1015625,59837.80078125,59236.87109375,25319
2020-08-20,59998.3515625,60300.0,59235.6484375,59507.30078125,58909.69140625,27828
2020-08-21,59990.0,60150.0,59325.1015625,59627.1484375,59028.3359375,31493
