Date,Open,High,Low,Close,Adj_Close,Volume
2020-04-01,433.0,433.20001220703125,408.20001220703125,413.54998779296875,335.6412048339844,8136746
2020-04-03,418.8999938964844,428.6000061035156,399.29998779296875,405.79998779296875,329.3511962890625,8166356
2020-04-07,425.0,457.95001220703125,425.0,451.1499938964844,366.15771484375,5972948
2020-04-08,451.0,476.79998779296875,449.0,463.1000061035156,375.8564453125,7991061
2020-04-09,480.70001220703125,481.0,462.0,469.04998779296875,380.68560791015625,5069225
2020-04-13,470.0,471.0,454.0,458.25,371.9201965332031,2236731
2020-04-15,470.0,482.0,462.70001220703125,478.75,388.5581359863281,6333188
2020-04-16,473.0,476.0,456.70001220703125,459.75,373.1375732421875,10484842
2020-04-17,470.0,475.0,453.6499938964844,455.25,369.4853515625,4706460
2020-04-20,458.0,473.6000061035156,453.5,470.0,381.4565734863281,4800719
2020-04-21,458.0,464.95001220703125,447.8500061035156,455.70001220703125,369.8505554199219,3405204
2020-04-22,453.0,469.45001220703125,450.0,462.3999938964844,375.2882995605469,3768051
2020-04-23,465.0,480.75,462.3999938964844,477.70001220703125,387.7060241699219,3052968
2020-04-24,480.0,496.8999938964844,465.1499938964844,468.1000061035156,379.91448974609375,6738184
2020-04-27,473.1000061035156,485.70001220703125,467.25,483.1000061035156,392.0886535644531,2914569
2020-04-28,489.0,489.0,469.45001220703125,471.1000061035156,382.3493347167969,4262237
2020-04-29,474.79998779296875,501.0,470.20001220703125,491.75,399.1091003417969,3849090
2020-04-30,506.5,565.5,501.0,543.5499877929688,441.1504211425781,8035267
2020-05-04,527.5,527.5,508.20001220703125,514.25,417.37030029296875,7032527
2020-05-05,526.0,529.9000244140625,515.6500244140625,520.4000244140625,422.3616943359375,4592828
2020-05-06,512.2000122070312,526.7000122070312,506.20001220703125,519.0999755859375,421.30657958984375,6921533
2020-05-07,530.0,541.7999877929688,507.54998779296875,511.75,415.34124755859375,19998641
2020-05-08,520.8499755859375,522.5,502.3999938964844,518.4000244140625,420.7384948730469,10120968
2020-05-11,526.0,534.9000244140625,521.2000122070312,527.5499877929688,428.1647033691406,4425540
2020-05-12,525.4500122070312,540.0,520.0,527.4000244140625,428.0428466796875,6439945
2020-05-13,539.8499755859375,539.8499755859375,521.5499877929688,528.75,429.1386413574219,3502017
2020-05-14,519.4000244140625,527.5499877929688,514.3499755859375,517.4500122070312,419.9674072265625,3741672
2020-05-15,517.9500122070312,517.9500122070312,505.25,511.25,414.93548583984375,4895121
